Date,FEDFUNDS,PCE,UNRATE,CPIAUCSL,PAYEMS
2004-01-01,1.0,8007.1,5.7,186.3,130766.0
2004-02-01,1.01,8040.4,5.6,186.7,130822.0
2004-03-01,1.0,8098.8,5.8,187.1,131139.0
2004-04-01,1.0,8107.2,5.6,187.4,131409.0
2004-05-01,1.0,8176.5,5.6,188.2,131693.0
2004-06-01,1.03,8157.6,5.6,188.9,131789.0
2004-07-01,1.26,8236.9,5.5,189.1,131850.0
2004-08-01,1.43,8271.6,5.4,189.2,131936.0
2004-09-01,1.61,8341.5,5.4,189.8,132083.0
2004-10-01,1.76,8397.1,5.5,190.8,132435.0
2004-11-01,1.93,8444.5,5.4,191.7,132509.0
2004-12-01,2.16,8504.4,5.4,191.7,132633.0
2005-01-01,2.28,8497.7,5.3,191.6,132779.0
2005-02-01,2.5,8559.1,5.4,192.4,133033.0
2005-03-01,2.63,8598.4,5.2,193.1,133154.0
2005-04-01,2.79,8678.4,5.2,193.7,133515.0
2005-05-01,3.0,8671.6,5.1,193.6,133687.0
2005-06-01,3.04,8753.4,5.0,193.7,133939.0
2005-07-01,3.26,8853.8,5.0,194.9,134297.0
2005-08-01,3.5,8850.1,4.9,196.1,134495.0
2005-09-01,3.62,8900.4,5.0,198.8,134552.0
2005-10-01,3.78,8938.5,5.0,199.1,134646.0
2005-11-01,4.0,8946.2,5.0,198.1,135001.0
2005-12-01,4.16,8981.1,4.9,198.1,135160.0
2006-01-01,4.29,9071.6,4.7,199.3,135425.0
2006-02-01,4.49,9096.0,4.8,199.4,135732.0
2006-03-01,4.59,9132.9,4.7,199.7,136041.0
2006-04-01,4.79,9191.6,4.7,200.7,136210.0
2006-05-01,4.94,9231.8,4.6,201.3,136247.0
2006-06-01,4.99,9259.6,4.6,201.8,136328.0
2006-07-01,5.24,9343.8,4.7,202.9,136522.0
2006-08-01,5.25,9342.2,4.7,203.8,136688.0
2006-09-01,5.25,9375.4,4.5,202.8,136825.0
