DATE,PCE,FEDFUNDS,UNRATE,CPIAUCSL,PAYEMS
2024-05-01,,5.33 ,4.00 ,,158534.00 
2024-04-01,19340.60 ,5.33 ,3.90 ,313.21 ,158286.00 
2024-03-01,19301.50 ,5.33 ,3.80 ,312.23 ,158111.00 
2024-02-01,19158.40 ,5.33 ,3.90 ,311.05 ,157796.00 
2024-01-01,19032.70 ,5.33 ,3.70 ,309.69 ,157560.00 
2023-12-01,19013.70 ,5.33 ,3.70 ,308.74 ,157304.00 
2023-11-01,18903.00 ,5.33 ,3.70 ,308.02 ,157014.00 
2023-10-01,18826.80 ,5.33 ,3.80 ,307.53 ,156832.00 
2023-09-01,18791.50 ,5.33 ,3.80 ,307.29 ,156667.00 
2023-08-01,18651.60 ,5.33 ,3.80 ,306.19 ,156421.00 
2023-07-01,18595.40 ,5.12 ,3.50 ,304.63 ,156211.00 
2023-06-01,18485.40 ,5.08 ,3.60 ,304.00 ,156027.00 
2023-05-01,18407.80 ,5.06 ,3.70 ,303.37 ,155787.00 
2023-04-01,18363.80 ,4.83 ,3.40 ,303.03 ,155484.00 
2023-03-01,18282.60 ,4.65 ,3.50 ,301.74 ,155206.00 
2023-02-01,18296.50 ,4.57 ,3.60 ,301.51 ,155060.00 
2023-01-01,18229.60 ,4.33 ,3.40 ,300.36 ,154773.00 
2022-12-01,17943.60 ,4.10 ,3.50 ,298.81 ,154291.00 
2022-11-01,17892.50 ,3.78 ,3.60 ,298.65 ,154155.00 
2022-10-01,17915.10 ,3.08 ,3.60 ,297.86 ,153897.00 
2022-09-01,17804.00 ,2.56 ,3.50 ,296.34 ,153536.00 
2022-08-01,17692.20 ,2.33 ,3.60 ,295.21 ,153281.00 
2022-07-01,17556.40 ,1.68 ,3.50 ,294.98 ,153038.00 
2022-06-01,17550.00 ,1.21 ,3.60 ,295.00 ,152348.00 
2022-05-01,17384.80 ,0.77 ,3.60 ,291.36 ,151928.00 
2022-04-01,17310.50 ,0.33 ,3.70 ,288.76 ,151642.00 
2022-03-01,17203.60 ,0.20 ,3.60 ,287.55 ,151370.00 
2022-02-01,16999.70 ,0.08 ,3.80 ,284.54 ,150876.00 
2022-01-01,16888.60 ,0.08 ,4.00 ,282.39 ,150014.00 
2021-12-01,16799.20 ,0.08 ,3.90 ,280.81 ,149763.00 
2021-11-01,16741.60 ,0.08 ,4.10 ,278.80 ,149197.00 
2021-10-01,16613.80 ,0.08 ,4.50 ,276.43 ,148566.00 
2021-09-01,16398.90 ,0.08 ,4.70 ,273.89 ,147706.00 
2021-08-01,16305.60 ,0.09 ,5.10 ,272.79 ,147226.00 
2021-07-01,16150.80 ,0.10 ,5.40 ,271.99 ,146761.00 
2021-06-01,16108.50 ,0.08 ,5.90 ,270.66 ,145822.00 
2021-05-01,15890.00 ,0.06 ,5.80 ,268.45 ,145044.00 
2021-04-01,15854.10 ,0.07 ,6.10 ,266.75 ,144593.00 
2021-03-01,15657.60 ,0.07 ,6.10 ,264.91 ,144274.00 
2021-02-01,14948.20 ,0.08 ,6.20 ,263.58 ,143443.00 
2021-01-01,15047.30 ,0.09 ,6.40 ,262.52 ,142916.00 
2020-12-01,14801.80 ,0.09 ,6.70 ,262.01 ,142518.00 
2020-11-01,14675.80 ,0.09 ,6.70 ,260.90 ,142761.00 
2020-10-01,14702.50 ,0.09 ,6.80 ,260.25 ,142493.00 
2020-09-01,14655.00 ,0.09 ,7.80 ,259.95 ,141820.00 
2020-08-01,14428.40 ,0.10 ,8.40 ,259.37 ,140774.00 
2020-07-01,14285.10 ,0.09 ,10.20 ,258.41 ,139240.00 
2020-06-01,14027.10 ,0.08 ,11.00 ,257.00 ,137655.00 
2020-05-01,13251.40 ,0.05 ,13.20 ,255.85 ,133040.00 
2020-04-01,12228.30 ,0.05 ,14.80 ,256.13 ,130421.00 
2020-03-01,13793.00 ,0.65 ,4.40 ,258.15 ,150898.00 
2020-02-01,14810.70 ,1.58 ,3.50 ,259.25 ,152309.00 
2020-01-01,14815.70 ,1.55 ,3.60 ,258.91 ,152045.00 
2019-12-01,14741.30 ,1.55 ,3.60 ,258.63 ,151792.00 
2019-11-01,14678.60 ,1.55 ,3.60 ,257.88 ,151666.00 
2019-10-01,14584.00 ,1.83 ,3.60 ,257.16 ,151458.00 
2019-09-01,14555.60 ,2.04 ,3.50 ,256.43 ,151358.00 
2019-08-01,14525.70 ,2.13 ,3.60 ,256.04 ,151155.00 
2019-07-01,14471.80 ,2.40 ,3.70 ,255.80 ,150934.00 
2019-06-01,14391.20 ,2.38 ,3.60 ,255.21 ,150844.00 
2019-05-01,14340.80 ,2.39 ,3.60 ,255.30 ,150640.00 
2019-04-01,14278.30 ,2.42 ,3.70 ,255.23 ,150602.00 
2019-03-01,14240.10 ,2.41 ,3.80 ,254.28 ,150294.00 
2019-02-01,14115.50 ,2.40 ,3.80 ,253.32 ,150067.00 
2019-01-01,14088.40 ,2.40 ,4.00 ,252.56 ,150062.00 
2018-12-01,14051.60 ,2.27 ,3.90 ,252.77 ,149804.00 
2018-11-01,14162.90 ,2.20 ,3.80 ,252.59 ,149622.00 
2018-10-01,14083.10 ,2.19 ,3.80 ,252.77 ,149525.00 
2018-09-01,14017.80 ,1.95 ,3.70 ,252.18 ,149361.00 
2018-08-01,14014.00 ,1.91 ,3.80 ,251.66 ,149274.00 
2018-07-01,13974.80 ,1.91 ,3.80 ,251.21 ,149023.00 
2018-06-01,13930.40 ,1.82 ,4.00 ,251.02 ,148968.00 
2018-05-01,13905.00 ,1.70 ,3.80 ,250.79 ,148755.00 
2018-04-01,13838.40 ,1.69 ,4.00 ,250.23 ,148426.00 
2018-03-01,13793.20 ,1.51 ,4.00 ,249.58 ,148280.00 
2018-02-01,13738.70 ,1.42 ,4.10 ,249.53 ,148054.00 
2018-01-01,13703.30 ,1.41 ,4.00 ,248.86 ,147667.00 
2017-12-01,13666.10 ,1.30 ,4.10 ,247.81 ,147521.00 
2017-11-01,13540.60 ,1.16 ,4.20 ,247.28 ,147375.00 
2017-10-01,13447.50 ,1.15 ,4.20 ,246.63 ,147146.00 
2017-09-01,13417.30 ,1.15 ,4.30 ,246.44 ,146999.00 
2017-08-01,13294.60 ,1.16 ,4.40 ,245.18 ,146907.00 
2017-07-01,13263.30 ,1.15 ,4.30 ,244.24 ,146772.00 
2017-06-01,13225.20 ,1.04 ,4.30 ,244.16 ,146588.00 
2017-05-01,13171.90 ,0.91 ,4.40 ,244.00 ,146389.00 
2017-04-01,13169.20 ,0.90 ,4.40 ,244.19 ,146173.00 
2017-03-01,13139.90 ,0.79 ,4.40 ,243.89 ,145976.00 
2017-02-01,13088.40 ,0.66 ,4.60 ,244.01 ,145848.00 
2017-01-01,13063.70 ,0.65 ,4.70 ,243.62 ,145636.00 
2016-12-01,13005.90 ,0.54 ,4.70 ,242.64 ,145410.00 
2016-11-01,12893.00 ,0.41 ,4.70 ,242.03 ,145188.00 
2016-10-01,12867.00 ,0.40 ,4.90 ,241.74 ,145069.00 
2016-09-01,12846.60 ,0.40 ,5.00 ,241.18 ,144961.00 
2016-08-01,12788.10 ,0.40 ,4.90 ,240.55 ,144664.00 
2016-07-01,12756.70 ,0.39 ,4.80 ,240.10 ,144515.00 
2016-06-01,12731.20 ,0.38 ,4.90 ,240.22 ,144152.00 
2016-05-01,12652.70 ,0.37 ,4.80 ,239.56 ,143901.00 
2016-04-01,12611.50 ,0.37 ,5.10 ,238.99 ,143856.00 
2016-03-01,12537.00 ,0.36 ,5.00 ,238.08 ,143666.00 
2016-02-01,12554.50 ,0.38 ,4.90 ,237.34 ,143411.00 
2016-01-01,12478.00 ,0.34 ,4.80 ,237.65 ,143196.00 
2015-12-01,12452.00 ,0.24 ,5.00 ,237.76 ,143083.00 
2015-11-01,12423.20 ,0.12 ,5.10 ,238.02 ,142810.00 
2015-10-01,12394.90 ,0.12 ,5.00 ,237.73 ,142584.00 
2015-09-01,12386.40 ,0.14 ,5.00 ,237.50 ,142265.00 
2015-08-01,12396.20 ,0.14 ,5.10 ,238.03 ,142130.00 
2015-07-01,12364.90 ,0.13 ,5.20 ,238.03 ,141989.00 
2015-06-01,12307.90 ,0.13 ,5.30 ,237.66 ,141695.00 
2015-05-01,12275.40 ,0.12 ,5.60 ,237.00 ,141539.00 
2015-04-01,12209.10 ,0.12 ,5.40 ,236.22 ,141202.00 
2015-03-01,12176.10 ,0.11 ,5.40 ,235.98 ,140925.00 
2015-02-01,12116.60 ,0.11 ,5.50 ,235.34 ,140831.00 
2015-01-01,12066.70 ,0.11 ,5.70 ,234.75 ,140562.00 
2014-12-01,12096.10 ,0.12 ,5.60 ,236.25 ,140366.00 
2014-11-01,12083.90 ,0.09 ,5.80 ,236.98 ,140088.00 
2014-10-01,12064.70 ,0.09 ,5.70 ,237.43 ,139804.00 
2014-09-01,11991.40 ,0.09 ,5.90 ,237.48 ,139564.00 
2014-08-01,11983.70 ,0.09 ,6.10 ,237.46 ,139257.00 
2014-07-01,11904.40 ,0.09 ,6.20 ,237.50 ,139076.00 
2014-06-01,11861.70 ,0.10 ,6.10 ,237.23 ,138833.00 
2014-05-01,11807.30 ,0.09 ,6.30 ,236.92 ,138500.00 
2014-04-01,11762.30 ,0.09 ,6.20 ,236.47 ,138298.00 
2014-03-01,11722.30 ,0.08 ,6.70 ,236.03 ,137987.00 
2014-02-01,11636.90 ,0.07 ,6.70 ,235.55 ,137710.00 
2014-01-01,11578.80 ,0.07 ,6.60 ,235.29 ,137551.00 
2013-12-01,11593.20 ,0.09 ,6.70 ,234.72 ,137367.00 
2013-11-01,11562.50 ,0.08 ,6.90 ,234.10 ,137312.00 
2013-10-01,11498.00 ,0.09 ,7.20 ,233.67 ,137039.00 
2013-09-01,11445.90 ,0.08 ,7.20 ,233.54 ,136819.00 
2013-08-01,11406.60 ,0.08 ,7.20 ,233.46 ,136634.00 
2013-07-01,11372.60 ,0.09 ,7.30 ,232.90 ,136391.00 
2013-06-01,11344.40 ,0.09 ,7.50 ,232.45 ,136269.00 
2013-05-01,11321.60 ,0.11 ,7.50 ,231.89 ,136090.00 
2013-04-01,11281.10 ,0.15 ,7.60 ,231.80 ,135876.00 
2013-03-01,11290.10 ,0.14 ,7.50 ,232.28 ,135690.00 
2013-02-01,11290.50 ,0.15 ,7.70 ,232.94 ,135548.00 
2013-01-01,11252.40 ,0.14 ,8.00 ,231.68 ,135263.00 
2012-12-01,11181.20 ,0.16 ,7.90 ,231.22 ,135074.00 
2012-11-01,11178.40 ,0.16 ,7.70 ,231.25 ,134831.00 
2012-10-01,11137.40 ,0.16 ,7.80 ,231.64 ,134672.00 
2012-09-01,11105.30 ,0.14 ,7.80 ,231.02 ,134512.00 
2012-08-01,11056.00 ,0.13 ,8.10 ,229.92 ,134329.00 
2012-07-01,11016.80 ,0.16 ,8.20 ,228.59 ,134153.00 
2012-06-01,10989.80 ,0.16 ,8.20 ,228.52 ,134008.00 
2012-05-01,11006.80 ,0.16 ,8.20 ,228.71 ,133935.00 
2012-04-01,11018.50 ,0.14 ,8.20 ,229.19 ,133828.00 
2012-03-01,10993.90 ,0.13 ,8.20 ,228.81 ,133745.00 
2012-02-01,10987.20 ,0.10 ,8.30 ,228.33 ,133521.00 
2012-01-01,10896.80 ,0.08 ,8.30 ,227.84 ,133243.00 
2011-12-01,10817.80 ,0.07 ,8.50 ,227.22 ,132902.00 
2011-11-01,10806.80 ,0.08 ,8.60 ,227.17 ,132701.00 
2011-10-01,10802.90 ,0.07 ,8.80 ,226.75 ,132557.00 
2011-09-01,10783.20 ,0.08 ,9.00 ,226.60 ,132346.00 
2011-08-01,10750.30 ,0.10 ,9.00 ,226.11 ,132123.00 
2011-07-01,10731.60 ,0.07 ,9.00 ,225.40 ,131992.00 
2011-06-01,10694.80 ,0.09 ,9.10 ,224.81 ,131936.00 
2011-05-01,10672.20 ,0.09 ,9.00 ,224.81 ,131704.00 
2011-04-01,10652.10 ,0.10 ,9.10 ,224.09 ,131604.00 
2011-03-01,10619.70 ,0.14 ,9.00 ,223.05 ,131278.00 
2011-02-01,10540.60 ,0.16 ,9.00 ,221.90 ,131054.00 
2011-01-01,10514.30 ,0.17 ,9.10 ,221.19 ,130839.00 
2010-12-01,10471.00 ,0.18 ,9.30 ,220.47 ,130836.00 
2010-11-01,10433.60 ,0.19 ,9.80 ,219.59 ,130754.00 
2010-10-01,10386.40 ,0.19 ,9.40 ,219.04 ,130620.00 
2010-09-01,10327.10 ,0.19 ,9.50 ,218.28 ,130340.00 
2010-08-01,10307.10 ,0.19 ,9.50 ,217.92 ,130423.00 
2010-07-01,10268.10 ,0.18 ,9.40 ,217.61 ,130420.00 
2010-06-01,10231.30 ,0.18 ,9.40 ,217.20 ,130501.00 
2010-05-01,10210.80 ,0.20 ,9.60 ,217.29 ,130645.00 
2010-04-01,10182.30 ,0.20 ,9.90 ,217.40 ,130115.00 
2010-03-01,10156.00 ,0.16 ,9.90 ,217.35 ,129865.00 
2010-02-01,10093.40 ,0.13 ,9.80 ,217.28 ,129702.00 
2010-01-01,10056.10 ,0.11 ,9.80 ,217.49 ,129795.00 
2009-12-01,10052.60 ,0.12 ,9.90 ,217.35 ,129807.00 
2009-11-01,9985.70 ,0.12 ,9.90 ,217.23 ,130059.00 
2009-10-01,9976.70 ,0.12 ,10.00 ,216.51 ,130061.00 
2009-09-01,9927.80 ,0.15 ,9.80 ,215.86 ,130241.00 
2009-08-01,10004.10 ,0.16 ,9.60 ,215.45 ,130480.00 
2009-07-01,9886.30 ,0.16 ,9.50 ,214.73 ,130661.00 
2009-06-01,9852.40 ,0.21 ,9.50 ,214.79 ,131003.00 
2009-05-01,9791.60 ,0.18 ,9.40 ,213.02 ,131470.00 
2009-04-01,9772.50 ,0.15 ,9.00 ,212.71 ,131825.00 
2009-03-01,9773.20 ,0.18 ,8.70 ,212.50 ,132494.00 
2009-02-01,9824.50 ,0.22 ,8.30 ,212.71 ,133314.00 
2009-01-01,9847.20 ,0.15 ,7.80 ,211.93 ,134066.00 
2008-12-01,9801.50 ,0.16 ,7.30 ,211.40 ,134848.00 
2008-11-01,9885.20 ,0.39 ,6.80 ,213.15 ,135546.00 
2008-10-01,10034.10 ,0.97 ,6.50 ,217.00 ,136294.00 
2008-09-01,10116.40 ,1.81 ,6.10 ,218.88 ,136759.00 
2008-08-01,10175.70 ,2.00 ,6.10 ,218.69 ,137209.00 
2008-07-01,10185.10 ,2.01 ,5.80 ,219.02 ,137492.00 
2008-06-01,10187.10 ,2.00 ,5.60 ,217.46 ,137689.00 
2008-05-01,10132.30 ,1.98 ,5.40 ,215.21 ,137847.00 
2008-04-01,10070.30 ,2.28 ,5.00 ,213.94 ,138037.00 
2008-03-01,10035.30 ,2.61 ,5.10 ,213.45 ,138256.00 
2008-02-01,9981.70 ,2.98 ,4.90 ,212.69 ,138326.00 
2008-01-01,9996.40 ,3.94 ,5.00 ,212.17 ,138397.00 
2007-12-01,9972.80 ,4.24 ,5.00 ,211.45 ,138396.00 
2007-11-01,9955.90 ,4.49 ,4.70 ,210.83 ,138291.00 
2007-10-01,9882.70 ,4.76 ,4.70 ,209.19 ,138175.00 
2007-09-01,9845.10 ,4.94 ,4.70 ,208.55 ,138103.00 
2007-08-01,9798.90 ,5.02 ,4.60 ,207.67 ,138017.00 
2007-07-01,9751.10 ,5.26 ,4.70 ,207.60 ,138042.00 
2007-06-01,9706.80 ,5.25 ,4.60 ,207.23 ,138072.00 
2007-05-01,9685.80 ,5.25 ,4.40 ,206.76 ,137993.00 
2007-04-01,9643.60 ,5.25 ,4.50 ,205.90 ,137842.00 
2007-03-01,9611.70 ,5.26 ,4.40 ,205.29 ,137782.00 
2007-02-01,9566.00 ,5.26 ,4.50 ,204.23 ,137556.00 
2007-01-01,9538.70 ,5.25 ,4.60 ,203.44 ,137475.00 
2006-12-01,9488.30 ,5.24 ,4.40 ,203.10 ,137251.00 
2006-11-01,9400.20 ,5.25 ,4.50 ,202.00 ,137068.00 
2006-10-01,9393.60 ,5.25 ,4.40 ,201.90 ,136849.00 
2006-09-01,9375.40 ,5.25 ,4.50 ,202.80 ,136825.00 
2006-08-01,9342.20 ,5.25 ,4.70 ,203.80 ,136688.00 
2006-07-01,9343.80 ,5.24 ,4.70 ,202.90 ,136522.00 
2006-06-01,9259.60 ,4.99 ,4.60 ,201.80 ,136328.00 
2006-05-01,9231.80 ,4.94 ,4.60 ,201.30 ,136247.00 
2006-04-01,9191.60 ,4.79 ,4.70 ,200.70 ,136210.00 
2006-03-01,9132.90 ,4.59 ,4.70 ,199.70 ,136041.00 
2006-02-01,9096.00 ,4.49 ,4.80 ,199.40 ,135732.00 
2006-01-01,9071.60 ,4.29 ,4.70 ,199.30 ,135425.00 
2005-12-01,8981.10 ,4.16 ,4.90 ,198.10 ,135160.00 
2005-11-01,8946.20 ,4.00 ,5.00 ,198.10 ,135001.00 
2005-10-01,8938.50 ,3.78 ,5.00 ,199.10 ,134646.00 
2005-09-01,8900.40 ,3.62 ,5.00 ,198.80 ,134552.00 
2005-08-01,8850.10 ,3.50 ,4.90 ,196.10 ,134495.00 
2005-07-01,8853.80 ,3.26 ,5.00 ,194.90 ,134297.00 
