stockID,clusterID
AAMC,3
AAME,1
AB,4
ABCB,1
AC,3
ACNB,0
ACP,4
ACT,2
ACV,2
ADX,2
AEF,4
AFB,4
AFBI,2
AFG,2
AFGB,4
AFGC,4
AFGD,4
AFGE,2
AFL,2
AGD,4
AGM,1
AIB,2
AIG,2
AIMAU,2
AINC,3
AIZ,2
AIZN,2
AJG,2
ALL,2
ALLY,2
ALRS,1
ALSA,2
ALTI,0
AMAL,1
AMBC,1
AMG,4
AMK,2
AMP,2
AMRK,3
AMSF,3
AMTB,1
AOD,4
AON,3
APAM,4
APLD,3
APXI,2
APXIU,2
ARCC,2
ARDC,2
AROW,1
ASB,1
ASG,4
ASRV,0
ATLC,3
ATLCL,1
ATLCP,2
ATLO,1
AUB,1
AUBN,3
AVK,4
AWF,2
AWP,4
AX,2
AXP,2
BAC,2
BAFN,4
BANC,2
BANF,0
BANFP,3
BANR,1
BANX,2
BBAR,2
BBD,0
BBDC,2
BBDO,0
BBN,4
BCAT,4
BCBP,0
BCML,1
BCOW,4
BCSF,2
BCV,3
BCX,3
BDJ,4
BEN,0
BFC,0
BFH,4
BFIN,2
BFK,4
BFST,1
BFZ,4
BGH,2
BGR,2
BGT,2
BGY,4
BHB,1
BHF,0
BHFAL,4
BHFAM,2
BHFAN,2
BHFAO,4
BHFAP,4
BHK,4
BHLB,1
BHV,4
BK,2
BKN,4
BKSC,0
BKT,4
BKU,1
BLE,4
BLEU,2
BLFY,0
BLK,1
BLW,2
BMA,2
BME,4
BMRC,0
BNY,4
BOCN,2
BOCNU,2
BOE,4
BOH,1
BOKF,4
BOTJ,1
BPOP,2
BPOPM,4
BPRN,1
BRKL,0
BRO,2
BRW,3
BSBR,0
BSL,2
BSRR,1
BST,4
BSVN,2
BTA,4
BTBT,3
BTCS,1
BTO,1
BTT,4
BTZ,4
BUI,4
BUSE,1
BWAQ,0
BWB,1
BWBBP,1
BWFG,0
BWG,4
BX,2
BXMX,4
BY,1
BYFC,3
BYM,4
C,2
CAC,0
CACC,4
CADE,1
CAF,3
CALB,1
CARE,0
CARV,3
CASH,1
CATC,1
CATY,1
CBAN,1
CBFV,1
CBH,2
CBNK,1
CBRE,4
CBRG,2
CBRGU,2
CBSH,1
CBU,0
CCB,0
CCBG,3
CCD,4
CCNE,1
CCTS,2
CCTSU,2
CDAQ,2
CDAQU,2
CEE,4
CEM,2
CET,2
CEV,4
CFB,1
CFBK,2
CFFI,0
CFFN,0
CFG,2
CFR,4
CFSB,4
CG,2
CGBD,2
CGO,4
CHCO,1
CHI,4
CHMG,1
CHN,3
CHW,4
CHY,1
CIA,0
CIF,4
CIFR,4
CII,4
CIK,4
CINF,2
CITE,2
CIVB,0
CIZN,3
CLBK,0
CLM,3
CMA,1
CMCA,2
CMCAU,2
CME,2
CMU,4
CNA,2
CNFR,3
CNO,1
CNOB,1
CNOBP,2
CNS,2
COF,2
COFS,1
COHN,2
COIN,2
COLB,0
COOL,2
COOLU,2
COOLW,2
COOP,2
CPF,2
CPSS,3
CPZ,4
CRESY,1
CRF,3
CRVL,2
CSGP,4
CSLM,2
CSQ,2
CSWC,2
CTBI,1
CTR,2
CUBA,3
CUBB,1
CUBI,1
CULL,0
CVBF,1
CVLY,1
CWBC,1
CXE,4
CXH,4
CZFS,3
CZNC,0
CZWI,1
DCOM,0
DCOMP,1
DECA,3
DFS,4
DGICA,3
DGICB,0
DHF,2
DHIL,3
DHY,2
DMF,4
DMO,2
DNP,3
DPCS,2
DPCSU,1
DPG,4
DSM,4
DSU,2
DTF,4
EAD,4
EBC,1
EBMT,1
EBTC,0
ECBK,4
ECC,4
ECCC,4
ECCV,2
ECCW,4
ECCX,4
ECF,3
EDD,4
EDF,2
EEA,4
EFR,2
EFSC,0
EFSCP,2
EFT,2
EFX,4
EGBN,0
EGF,0
EHI,4
EHTH,3
EIG,2
EIM,4
EMCG,2
EMCGU,2
EMD,4
EMF,4
EMO,2
ENVA,4
ENX,4
EOD,4
EOI,2
EOT,4
EQBK,2
EQS,0
ERC,0
ERIE,2
ESQ,1
ESSA,1
ETB,4
ETG,4
ETJ,4
ETO,4
ETV,4
ETW,4
ETY,2
EVBN,0
EVF,2
EVG,2
EVM,4
EVN,4
EVR,2
EVT,4
EVV,4
EWBC,2
EXG,4
EXPI,3
FAF,0
FAM,4
FAX,4
FBIZ,1
FBK,1
FBMS,0
FBNC,1
FCAP,3
FCBC,1
FCCO,0
FCF,1
FCNCA,2
FCNCO,2
FCNCP,2
FCO,3
FCT,2
FDBC,0
FDS,1
FDUS,4
FFA,2
FFBC,1
FFIC,0
FFIN,4
FFNW,2
FFWM,1
FGB,2
FGBI,3
FGBIP,4
FGF,3
FGFPP,2
FGI,3
FHB,1
FHI,4
FHN,2
FIBK,1
FINV,3
FINW,1
FISI,1
FITB,2
FITBI,4
FITBO,1
FITBP,4
FLC,4
FLIC,0
FMAO,4
FMBH,1
FMN,4
FMNB,0
FMY,2
FNB,1
FNCB,0
FNF,2
FNLC,0
FNWB,0
FNWD,4
FOF,4
FOR,2
FRA,2
FRAF,0
FRBA,1
FRBK,3
FRME,1
FRMEP,2
FRPH,1
FRST,1
FSBC,1
FSBW,1
FSEA,4
FSFG,1
FT,4
FTF,4
FTHM,3
FTHY,4
FULT,1
FULTP,2
FUNC,1
FUND,4
FUSB,2
FVCB,0
FXNC,0
GAB,4
GABC,1
GAIN,1
GAINN,2
GAINZ,1
GAM,2
GBAB,4
GBCI,1
GBDC,2
GBNY,4
GCBC,4
GCMG,2
GCV,3
GDL,1
GDO,4
GDOT,3
GDV,4
GECC,1
GECCM,2
GECCO,2
GF,4
GGAL,2
GGN,2
GGT,3
GHI,0
GHY,4
GJH,2
GJO,2
GJP,2
GJR,2
GJS,2
GJT,2
GL,0
GLAD,4
GLBZ,3
GLO,4
GLQ,4
GLU,4
GLV,4
GNT,4
GNW,1
GOCO,3
GOF,3
GPAC,2
GREE,0
GREEL,2
GRF,2
GROW,3
GRX,4
GS,2
GSBC,1
GSBD,2
GSHD,0
GTAC,2
GUT,3
HAFC,0
HALL,3
HBAN,2
HBANM,2
HBANP,4
HBCP,1
HBNC,1
HBT,1
HCI,2
HCXY,4
HEQ,4
HFBL,3
HFWA,1
HGBL,3
HIE,2
HIFS,3
HIG,2
HIO,4
HIX,3
HLI,2
HLNE,2
HMN,2
HMNF,1
HMST,2
HNNA,4
HNNAZ,1
HNVR,3
HNW,2
HOMB,1
HONE,1
HOPE,1
HOUS,0
HPF,2
HPI,4
HPS,2
HQH,4
HQL,4
HRZN,0
HTBI,1
HTBK,0
HTD,4
HTFB,2
HTFC,0
HTGC,2
HTH,1
HTLF,2
HTLFP,2
HWBK,1
HWC,1
HWCPZ,1
HYB,2
HYT,2
IAE,4
IAF,4
IBCP,1
IBKR,2
IBOC,2
IBTX,1
ICCH,2
ICE,2
ICMB,3
IDE,4
IFN,2
IGA,2
IGD,4
IGI,1
IGR,4
IHD,4
IIF,2
IIM,4
INBK,2
INBKZ,2
INDB,0
INSI,4
IOR,2
IQI,4
IROQ,2
ISD,4
ISTR,2
IT,2
ITIC,2
ITUB,1
IVCP,2
IVCPU,2
IVZ,4
JBK,4
JCE,2
JEF,2
JEQ,4
JFR,2
JGH,2
JHI,4
JLL,4
JLS,2
JMM,4
JMSB,0
JOF,2
JPC,2
JPM,2
JQC,2
JRI,4
JRS,4
JSM,4
KEY,2
KF,4
KFFB,3
KINS,2
KKR,2
KMPB,2
KMPR,2
KNSL,2
KRNL,2
KRNLU,2
KRNY,0
KSM,2
KTF,4
KTH,0
KYN,2
L,2
LARK,4
LATG,2
LATGU,1
LC,4
LCNB,0
LDP,2
LEO,4
LKFN,1
LMFA,3
LMND,4
LNC,2
LOB,1
LODE,3
LPLA,2
LPRO,3
LRFC,1
LSBK,2
LVRO,0
MACA,2
MACAU,2
MAIN,2
MARA,4
MAV,4
MBCN,0
MBI,3
MBIN,2
MBINM,2
MBINN,2
MBINO,2
MBNKP,2
MBWM,1
MCAA,2
MCAAU,2
MCBC,2
MCBS,2
MCI,2
MCO,2
MCR,4
MCVT,2
MCY,2
MET,2
MFD,4
MFIC,2
MFIN,0
MFM,4
MGF,0
MGR,4
MGRB,4
MGRD,4
MGYR,4
MHD,4
MHF,4
MHI,4
MHN,4
MIN,0
MITA,2
MITAU,2
MIY,4
MKL,2
MKTX,0
MLP,2
MMC,2
MMD,4
MMT,4
MMU,4
MNSB,0
MNSBP,4
MOFG,0
MORN,2
MPA,4
MPB,0
MPV,2
MQT,4
MQY,4
MRBK,0
MRCC,3
MS,4
MSBI,1
MSBIP,2
MSCI,0
MSD,2
MSDA,0
MSSAU,2
MSVB,2
MTB,2
MTG,2
MUA,4
MUC,4
MUE,4
MUI,4
MUJ,4
MVBF,3
MVF,4
MVT,4
MXE,4
MXF,1
MYD,4
MYFW,3
MYI,4
MYN,4
NAC,4
NAD,4
NAN,4
NAVI,0
NAZ,4
NBB,4
NBH,4
NBHC,1
NBN,1
NBTB,1
NCA,4
NCPL,3
NCV,4
NCZ,4
NDAQ,2
NDP,2
NEA,4
NECB,1
NEN,4
NEWT,3
NEWTL,2
NFBK,0
NFJ,4
NHS,2
NIC,1
NIE,4
NIM,4
NKSH,4
NKX,4
NMFC,0
NMI,4
NMIH,2
NMRK,2
NMS,4
NMT,4
NMZ,4
NNI,4
NNY,4
NODK,2
NOM,4
NPV,4
NQP,4
NRDS,1
NRIM,1
NRK,4
NRO,4
NSTS,2
NTRS,4
NTRSO,1
NUV,4
NUW,4
NVG,4
NWBI,0
NWFL,0
NWLI,2
NXC,4
NXJ,4
NXN,4
NXP,4
NYCB,3
NZF,4
OBT,1
OCCI,3
OCCIN,2
OCCIO,2
OCFC,0
OCFCP,2
OCN,0
OCSL,0
OFS,0
OFSSH,4
OIA,4
ONB,1
ONBPO,4
ONBPP,4
ONYX,2
ONYXU,2
OPAD,3
OPBK,1
OPEN,0
OPHC,2
OPOF,0
OPP,4
OPRT,3
OPY,4
ORI,2
ORRF,1
OSBC,0
OVBC,3
OVLY,0
OWL,2
OXLC,4
OXLCL,4
OXLCM,2
OXLCN,2
OXLCO,2
OXLCP,2
OXLCZ,2
OXSQ,2
OXSQZ,2
OZK,1
OZKAP,1
PAI,4
PB,1
PBBK,4
PBFS,4
PBHC,3
PCB,0
PCF,4
PCK,4
PCM,3
PCN,4
PCQ,4
PDI,4
PDT,4
PEBK,2
PEBO,1
PEGR,0
PEGRU,0
PEO,2
PFBC,2
PFC,1
PFD,4
PFG,4
PFH,4
PFIS,0
PFL,4
PFLT,1
PFN,4
PFO,4
PFS,0
PFSI,2
PFTA,2
PFTAU,2
PFX,2
PFXNZ,2
PGC,0
PGP,4
PGR,2
PHD,2
PHK,4
PHT,2
PIM,4
PIPR,2
PJT,2
PKBK,0
PLBC,0
PLMI,2
PLMIU,2
PLMR,2
PMF,4
PML,4
PMM,4
PMO,4
PMTS,4
PMX,4
PNBK,3
PNC,2
PNF,4
PNFP,1
PNFPP,2
PNI,4
PNNT,2
PPBI,0
PPT,4
PRA,3
PRAA,4
PRH,4
PRI,2
PRK,2
PRLH,2
PROV,4
PRS,4
PRTC,4
PRU,2
PSEC,3
PTMN,3
PTY,4
PVBC,0
PWOD,3
PWP,2
PWUP,2
PWUPU,2
PX,3
PYN,4
PZC,4
QCRH,1
QDRO,2
QDROU,2
QQQX,4
RAND,2
RBB,1
RBCAA,1
RBKB,2
RCC,2
RCG,3
RCS,4
RDFN,3
RDN,2
RELI,3
RENE,2
RENEU,2
RENEW,3
RF,4
RFI,4
RGA,2
RILY,3
RILYL,3
RILYP,3
RJF,2
RKT,2
RLI,2
RM,3
RMR,0
RMT,4
RNP,4
RNST,1
ROOT,2
RQI,4
RRBI,0
RVSB,0
RVT,4
RZB,1
SAFT,2
SAMG,3
SAR,3
SASR,0
SAT,2
SBCF,1
