stockID,clusterID
AAME,4
AB,4
ABCB,0
AC,4
ACNB,2
ACP,1
ACV,1
ADX,3
AEF,1
AFB,1
AFBI,2
AFG,0
AFL,2
AGD,4
AGM,2
AIG,2
AINC,4
AIZ,3
AJG,2
ALL,2
ALLY,3
ALRS,4
AMAL,2
AMBC,3
AMG,3
AMK,2
AMP,2
AMRK,2
AMSF,1
AMTB,0
AOD,1
AON,2
APAM,1
ARCC,0
ARDC,3
AROW,4
ASB,0
ASG,1
ASRV,4
ATLC,3
ATLO,4
AUB,0
AUBN,1
AVK,1
AWF,1
AWP,1
AX,3
AXP,2
BAC,3
BANC,4
BANF,2
BANFP,4
BANR,0
BANX,4
BBAR,2
BBD,1
BBDC,3
BBDO,1
BBN,1
BCBP,0
BCML,0
BCOW,4
BCSF,3
BCV,1
BCX,0
BDJ,4
BEN,3
BFC,2
BFH,1
BFIN,3
BFK,1
BFST,0
BFZ,1
BGH,1
BGR,2
BGT,3
BGY,1
BHB,0
BHF,0
BHFAL,1
BHFAP,1
BHK,1
BHLB,0
BHV,1
BK,3
BKN,1
BKSC,4
BKT,1
BKU,4
BLE,1
BLK,3
BLW,1
BMA,2
BME,1
BMRC,4
BNY,1
BOE,1
BOH,4
BOKF,0
BOTJ,4
BPOP,0
BPOPM,4
BPRN,0
BRKL,4
BRO,2
BRW,1
BSBR,1
BSL,1
BSRR,4
BST,1
BSVN,2
BTA,1
BTBT,1
BTCS,3
BTO,4
BTT,1
BTZ,1
BUI,1
BUSE,0
BWB,4
BWFG,0
BWG,1
BX,3
BXMX,3
BY,0
BYFC,1
BYM,1
C,1
CAC,4
CACC,3
CADE,4
CAF,1
CALB,0
CARE,0
CARV,1
CASH,3
CATC,4
CATY,0
CBAN,4
CBFV,0
CBH,1
CBNK,0
CBRE,3
CBSH,4
CBU,4
CCB,0
CCBG,0
CCD,1
CCNE,4
CEE,1
CEM,2
CET,3
CEV,1
CFB,0
CFBK,0
CFFI,0
CFFN,1
CFG,4
CFR,0
CG,3
CGBD,2
CGO,1
CHCO,2
CHI,1
CHMG,0
CHN,1
CHW,1
CHY,1
CIA,1
CIF,1
CII,3
CIK,1
CINF,0
CIVB,4
CIZN,1
CLBK,0
CLM,1
CMA,4
CME,3
CMU,1
CNA,0
CNFR,1
CNO,3
CNOB,4
CNS,3
COF,3
COFS,1
COHN,1
COLB,4
COOP,2
CPF,4
CPSS,2
CRESY,2
CRF,1
CRVL,2
CSGP,1
CSQ,3
CSWC,3
CTBI,0
CTR,2
CUBA,4
CUBI,3
CULL,1
CVBF,4
CVLY,0
CWBC,0
CXE,1
CXH,1
CZFS,0
CZNC,4
CZWI,0
DCOM,4
DFS,3
DGICA,4
DGICB,0
DHF,1
DHIL,0
DHY,1
DMF,1
DMO,1
DNP,4
DPG,4
DSM,1
DSU,3
DTF,1
EAD,1
EBMT,4
EBTC,0
ECC,4
ECF,1
EDD,1
EDF,1
EEA,1
EFR,3
EFSC,0
EFT,3
EFX,3
EGBN,4
EGF,1
EHI,1
EHTH,1
EIG,0
EIM,1
EMD,1
EMF,1
EMO,2
ENVA,2
ENX,1
EOD,4
EOI,3
EOT,1
EQBK,0
EQS,4
ERC,1
ERIE,2
ESQ,2
ESSA,0
ETB,4
ETG,3
ETJ,1
ETO,3
ETV,1
ETW,1
ETY,3
EVBN,4
EVF,3
EVG,1
EVM,1
EVN,1
EVR,2
EVT,4
EVV,1
EWBC,0
EXG,4
EXPI,1
FAF,3
FAM,1
FAX,1
FBIZ,2
FBK,4
FBMS,4
FBNC,0
FCAP,1
FCBC,0
FCCO,0
FCF,0
FCNCA,2
FCO,1
FCT,1
FDBC,1
FDS,2
FDUS,2
FFA,3
FFBC,0
FFIC,4
FFIN,4
FFNW,3
FFWM,4
FGB,3
FGBI,4
FGF,1
FGFPP,1
FHB,4
FHI,2
FHN,0
FIBK,4
FINV,3
FISI,4
FITB,3
FITBI,1
FITBO,1
FITBP,1
FLC,1
FLIC,4
FMAO,4
FMBH,4
FMN,1
FMNB,4
FMY,1
FNB,0
FNCB,4
FNF,3
FNLC,4
FNWB,4
FNWD,4
FOF,1
FOR,2
FRA,3
FRAF,0
FRBA,0
FRBK,4
FRME,4
FRPH,2
FRST,4
FSBW,0
FSEA,4
FSFG,4
FT,4
FTF,1
FULT,0
FUNC,0
FUND,0
FUSB,3
FVCB,0
FXNC,3
GAB,4
GABC,4
GAIN,0
GAM,3
GBAB,1
GBCI,4
GBDC,3
GCBC,2
GCMG,1
GCV,1
GDL,1
GDO,1
GDOT,1
GDV,3
GECC,1
GECCM,0
GF,1
GGAL,2
GGN,3
GGT,1
GHI,0
GHY,1
GJH,1
GJO,2
GJP,3
GJR,2
GJS,2
GJT,2
GL,2
GLAD,3
GLBZ,4
GLO,1
GLQ,1
GLU,1
GLV,1
GNT,3
GNW,2
GOF,1
GREE,1
GRF,0
GROW,4
GRX,1
GS,3
GSBC,0
GSBD,4
GSHD,1
GUT,1
HAFC,0
HALL,1
HBAN,4
