stockID,clusterID
AAOI,4
AAPL,2
ACIW,1
ACLS,2
ACMR,1
ADBE,4
ADEA,2
ADI,2
ADSK,1
AEYE,1
AGYS,2
AIRG,1
ALOT,2
ALRM,3
ALTR,2
AMAT,2
AMBA,0
AMD,2
AMKR,2
AMSWA,3
ANGI,1
ANSS,4
APCX,0
APH,2
APPF,2
APPN,1
APPS,3
ARLO,2
ARW,2
ASGN,0
ASUR,2
ASYS,0
ATKR,2
ATOM,3
AVGO,2
AVT,2
AWRE,3
AXTI,3
AZPN,2
BAND,1
BCO,2
BCOV,1
BEEM,1
BHE,2
BKTI,1
BKYI,1
BL,1
BLBX,3
BLIN,3
BLKB,4
BOX,2
BRC,2
BW,0
CACI,2
CALX,0
CCRD,1
CDNS,2
CETX,1
CETXP,1
CEVA,1
CIX,2
CLIR,1
CLMB,2
CLRO,1
CLSK,4
CMTL,3
CNDT,3
CNXN,2
COMM,3
CREX,1
CRM,4
CRNC,3
CRUS,2
CRWD,4
CSGS,0
CSPI,2
CTLP,1
CTS,2
CTSH,4
CUEN,1
CVLT,2
CVV,2
DAIO,3
DBX,4
DDD,3
DDOG,4
DGII,2
DGLY,1
DHX,0
DIOD,0
DJCO,4
DLB,4
DMRC,4
DOCU,1
DOMO,3
DT,4
DTST,2
DUOT,3
EB,3
EEFT,3
EGAN,1
EGHT,1
EGIO,1
EMKR,3
ENPH,0
ENTG,4
ENV,1
EPAM,3
ERII,0
ESP,2
ESTC,4
EVBG,1
EVER,1
EXLS,2
FFIV,4
FICO,2
FIVN,3
FORM,4
FRGT,3
FSLR,2
FSS,2
FTNT,2
GDDY,2
GDYN,0
GEN,0
GIC,4
GLW,3
GMGI,3
GOOG,2
GOOGL,2
GROM,1
GSIT,1
GTLS,0
GVP,3
GWRE,4
HCKT,2
HLIT,2
HPQ,0
HUBB,2
HUBS,4
IBM,2
ICHR,4
IDN,1
III,0
IIIV,1
IMMR,1
IMXI,2
INDI,1
INOD,2
INSE,0
INTC,1
INTT,2
INTU,2
INTZ,1
INVE,0
IPDN,1
IPGP,1
ISDR,0
ISUN,1
IVAC,1
IVDA,3
JBL,2
JKHY,0
JNPR,2
KAI,2
KE,2
KLAC,2
KOPN,3
KTCC,1
KVHI,3
LASR,1
LDOS,2
LFUS,0
LGL,3
LINK,4
LITE,3
LOGI,4
LPSN,1
LPTH,1
LRCX,2
LSCC,2
LTRPA,1
LTRPB,1
LYFT,3
MANH,2
MAPS,1
MCHP,2
MDB,4
MDRX,0
MEDS,1
MEI,3
META,4
MG,4
MITK,3
MMAT,3
MNTX,4
MODN,1
MPWR,2
MRAM,2
MRIN,3
MRVL,4
MSA,4
MSFT,2
MSI,2
MSTR,4
MTCH,3
MTSI,2
MU,4
MXL,0
NET,4
NOC,2
NOW,4
NRC,1
NSIT,2
NSSC,2
NSYS,2
NTAP,2
NTCT,0
NTIP,3
NTNX,2
NTWK,3
NVDA,2
NVEC,2
NXPL,3
OBLG,1
OKTA,1
OLB,1
OLED,1
OMQS,3
ON,2
ORCL,2
OSIS,2
OSPN,1
OSS,3
OTRK,1
PALT,4
PANW,2
PAR,3
PAYS,1
PCTY,0
PDFS,2
PEGA,1
PEGY,1
PLAB,2
PLUS,2
PLXS,2
POCI,0
POET,3
POWI,0
PRFT,0
PRGS,2
PRO,1
PRSO,3
PRTH,3
PTC,2
PXLW,3
QCOM,4
QLYS,2
QMCO,1
QUBT,1
QUIK,2
RAMP,1
RBBN,1
RCRT,1
RDVT,0
REFR,1
REKR,1
RELL,0
RFIL,3
RIOT,3
RMBS,2
RMNI,3
ROG,0
ROP,2
RPAY,1
RPD,3
RSSS,4
RVYL,3
SANM,2
SATS,1
SCKT,3
SCSC,2
SCWX,3
SE,3
SEAC,1
SGH,0
SGMA,0
SLAB,0
SLNH,3
SLP,1
SMAR,3
SMCI,2
SMSI,3
SMTC,3
SNAP,3
SNCR,1
SNPS,2
SOFO,1
SPOK,2
SPSC,2
SPWR,3
SQ,1
SSNC,3
SSNT,2
SSTI,3
SSTK,3
SSYS,3
STNE,1
STRM,3
SURG,1
SWI,1
SWKS,1
SYNA,0
TACT,3
TAIT,0
TCX,3
TDC,0
TENB,0
TPIC,1
TRNS,2
TRT,0
TRUE,1
TSRI,0
TTD,4
TTEC,3
TTGT,3
TTMI,2
TTWO,1
TXN,0
TYL,4
UCTT,4
UI,3
UIS,3
ULBI,4
UPBD,3
UPLD,1
USIO,3
UUU,3
VECO,2
VERB,3
VERI,3
VIAV,3
VICR,3
VRME,1
VRNS,4
VRNT,0
VRSN,3
