Date,Price,Open,High,Low,Vol.,Change %
2024/7/10 00:00,1939,1939,1939,1939,,0.0238
2024/7/9 00:00,1894,1894,1894,1894,,-0.0237
2024/7/8 00:00,1940,1940,1940,1940,,-0.0132
2024/7/5 00:00,1966,1966,1966,1966,,-0.0272
2024/7/4 00:00,2021,2021,2021,2021,,-0.0208
2024/7/3 00:00,2064,2064,2064,2064,,-0.0528
2024/7/2 00:00,2179,2179,2179,2179,,0.0097
2024/7/1 00:00,2158,2158,2158,2158,,0.0527
2024/6/28 00:00,2050,2050,2050,2050,,0.0094
2024/6/27 00:00,2031,2031,2031,2031,,0.0341
2024/6/26 00:00,1964,1964,1964,1964,,0.0197
2024/6/25 00:00,1926,1926,1926,1926,,-0.0238
2024/6/24 00:00,1973,1973,1973,1973,,-0.012
2024/6/21 00:00,1997,1997,1997,1997,,0.0066
2024/6/20 00:00,1984,1984,1984,1984,,0.0211
2024/6/19 00:00,1943,1943,1943,1943,,-0.0092
2024/6/18 00:00,1961,1961,1961,1961,,0.0067
2024/6/17 00:00,1948,1948,1948,1948,,0
2024/6/14 00:00,1948,1948,1948,1948,,0.0031
2024/6/13 00:00,1942,1942,1942,1942,,0.0577
2024/6/12 00:00,1836,1836,1836,1836,,0.0027
2024/6/11 00:00,1831,1831,1831,1831,,-0.0276
2024/6/10 00:00,1883,1883,1883,1883,,0.0011
2024/6/7 00:00,1881,1881,1881,1881,,0.0064
2024/6/6 00:00,1869,1869,1869,1869,,0.0092
2024/6/5 00:00,1852,1852,1852,1852,,0.0215
2024/6/4 00:00,1813,1813,1813,1813,,0.0028
2024/6/3 00:00,1808,1808,1808,1808,,-0.0039
2024/5/31 00:00,1815,1815,1815,1815,,0.0078
2024/5/30 00:00,1801,1801,1801,1801,,0.0061
2024/5/29 00:00,1790,1790,1790,1790,,0.0034
2024/5/28 00:00,1784,1784,1784,1784,,-0.0072
2024/5/24 00:00,1797,1797,1797,1797,,0.0006
2024/5/23 00:00,1796,1796,1796,1796,,-0.0044
2024/5/22 00:00,1804,1804,1804,1804,,-0.0137
2024/5/21 00:00,1829,1829,1829,1829,,-0.0097
2024/5/20 00:00,1847,1847,1847,1847,,0.0016
2024/5/17 00:00,1844,1844,1844,1844,,0.0149
2024/5/16 00:00,1817,1817,1817,1817,,-0.0381
2024/5/15 00:00,1889,1889,1889,1889,,-0.0522
2024/5/14 00:00,1993,1993,1993,1993,,-0.0353
2024/5/13 00:00,2066,2066,2066,2066,,-0.0296
2024/5/10 00:00,2129,2129,2129,2129,,-0.0171
2024/5/9 00:00,2166,2166,2166,2166,,-0.0168
2024/5/8 00:00,2203,2203,2203,2203,,0.0576
2024/5/7 00:00,2083,2083,2083,2083,,0.1103
2024/5/3 00:00,1876,1876,1876,1876,,0.0575
2024/5/2 00:00,1774,1774,1774,1774,,0.0509
2024/5/1 00:00,1688,1688,1688,1688,,0.0018
2024/4/30 00:00,1685,1685,1685,1685,,0.0006
2024/4/29 00:00,1684,1684,1684,1684,,-0.0215
2024/4/26 00:00,1721,1721,1721,1721,,-0.0126
2024/4/25 00:00,1743,1743,1743,1743,,-0.0175
2024/4/24 00:00,1774,1774,1774,1774,,-0.0166
2024/4/23 00:00,1804,1804,1804,1804,,-0.0414
2024/4/22 00:00,1882,1882,1882,1882,,-0.0193
2024/4/19 00:00,1919,1919,1919,1919,,0.0095
2024/4/18 00:00,1901,1901,1901,1901,,0.0309
2024/4/17 00:00,1844,1844,1844,1844,,0.0365
2024/4/16 00:00,1779,1779,1779,1779,,0.0283
2024/4/15 00:00,1730,1730,1730,1730,,0.0006
2024/4/12 00:00,1729,1729,1729,1729,,0.0231
2024/4/11 00:00,1690,1690,1690,1690,,0.0649
2024/4/10 00:00,1587,1587,1587,1587,,0.0108
2024/4/9 00:00,1570,1570,1570,1570,,-0.0151
2024/4/8 00:00,1594,1594,1594,1594,,-0.0209
2024/4/5 00:00,1628,1628,1628,1628,,-0.0246
2024/4/4 00:00,1669,1669,1669,1669,,-0.0245
2024/4/3 00:00,1711,1711,1711,1711,,-0.0018
2024/4/2 00:00,1714,1714,1714,1714,,-0.0588
2024/3/28 00:00,1821,1821,1821,1821,,-0.013
2024/3/27 00:00,1845,1845,1845,1845,,-0.0724
2024/3/26 00:00,1989,1989,1989,1989,,-0.0631
2024/3/25 00:00,2123,2123,2123,2123,,-0.0332
2024/3/22 00:00,2196,2196,2196,2196,,-0.0196
2024/3/21 00:00,2240,2240,2240,2240,,-0.0193
2024/3/20 00:00,2284,2284,2284,2284,,-0.0452
2024/3/19 00:00,2392,2392,2392,2392,,-0.0112
2024/3/18 00:00,2419,2419,2419,2419,,0.019
2024/3/15 00:00,2374,2374,2374,2374,,0.0102
2024/3/14 00:00,2350,2350,2350,2350,,-0.0084
2024/3/13 00:00,2370,2370,2370,2370,,0.0238
2024/3/12 00:00,2315,2315,2315,2315,,-0.0261
2024/3/11 00:00,2377,2377,2377,2377,,0.0136
2024/3/8 00:00,2345,2345,2345,2345,,0.0418
2024/3/7 00:00,2251,2251,2251,2251,,0.0345
2024/3/6 00:00,2176,2176,2176,2176,,-0.0502
2024/3/5 00:00,2291,2291,2291,2291,,-0.0026
2024/3/4 00:00,2297,2297,2297,2297,,0.0427
2024/3/1 00:00,2203,2203,2203,2203,,0.0436
2024/2/29 00:00,2111,2111,2111,2111,,0.0343
2024/2/28 00:00,2041,2041,2041,2041,,0.0748
2024/2/27 00:00,1899,1899,1899,1899,,0.015
2024/2/26 00:00,1871,1871,1871,1871,,0.0027
2024/2/23 00:00,1866,1866,1866,1866,,0.0651
2024/2/22 00:00,1752,1752,1752,1752,,0.0453
2024/2/21 00:00,1676,1676,1676,1676,,0.027
2024/2/20 00:00,1632,1632,1632,1632,,0.0018
2024/2/19 00:00,1629,1629,1629,1629,,0.0118
2024/2/16 00:00,1610,1610,1610,1610,,0.0183
2024/2/15 00:00,1581,1581,1581,1581,,-0.0006
2024/2/14 00:00,1582,1582,1582,1582,,-0.0019
2024/2/13 00:00,1585,1585,1585,1585,,0.0083
2024/2/12 00:00,1572,1572,1572,1572,,0.0175
2024/2/9 00:00,1545,1545,1545,1545,,0.0489
2024/2/8 00:00,1473,1473,1473,1473,,-0.0094
2024/2/7 00:00,1487,1487,1487,1487,,-0.0191
2024/2/6 00:00,1516,1516,1516,1516,,0.0557
2024/2/5 00:00,1436,1436,1436,1436,,0.0206
2024/2/2 00:00,1407,1407,1407,1407,,0.0137
2024/2/1 00:00,1388,1388,1388,1388,,-0.0072
2024/1/31 00:00,1398,1398,1398,1398,,0.0007
2024/1/30 00:00,1397,1397,1397,1397,,-0.0432
2024/1/29 00:00,1460,1460,1460,1460,,-0.0382
2024/1/26 00:00,1518,1518,1518,1518,,0.0127
2024/1/25 00:00,1499,1499,1499,1499,,-0.0053
2024/1/24 00:00,1507,1507,1507,1507,,0.0231
2024/1/23 00:00,1473,1473,1473,1473,,-0.0296
2024/1/22 00:00,1518,1518,1518,1518,,0.01
2024/1/19 00:00,1503,1503,1503,1503,,0.1076
2024/1/18 00:00,1357,1357,1357,1357,,0.0375
2024/1/17 00:00,1308,1308,1308,1308,,-0.0121
2024/1/16 00:00,1324,1324,1324,1324,,-0.0265
2024/1/15 00:00,1360,1360,1360,1360,,-0.0685
2024/1/12 00:00,1460,1460,1460,1460,,-0.0605
2024/1/11 00:00,1554,1554,1554,1554,,-0.0661
2024/1/10 00:00,1664,1664,1664,1664,,-0.1125
2024/1/9 00:00,1875,1875,1875,1875,,-0.0727
2024/1/8 00:00,2022,2022,2022,2022,,-0.0417
2024/1/5 00:00,2110,2110,2110,2110,,0.0115
2024/1/4 00:00,2086,2086,2086,2086,,-0.0024
2024/1/3 00:00,2091,2091,2091,2091,,-0.001
2024/1/2 00:00,2093,2093,2093,2093,,-0.0005
2023/12/22 00:00,2094,2094,2094,2094,,0.0034
2023/12/21 00:00,2087,2087,2087,2087,,-0.0293
2023/12/20 00:00,2150,2150,2150,2150,,-0.0311
2023/12/19 00:00,2219,2219,2219,2219,,-0.0302
2023/12/18 00:00,2288,2288,2288,2288,,-0.0256
2023/12/15 00:00,2348,2348,2348,2348,,-0.0261
2023/12/14 00:00,2411,2411,2411,2411,,-0.0111
2023/12/13 00:00,2438,2438,2438,2438,,-0.0443
2023/12/12 00:00,2551,2551,2551,2551,,0.0167
2023/12/11 00:00,2509,2509,2509,2509,,0.0105
2023/12/8 00:00,2483,2483,2483,2483,,-0.0048
2023/12/7 00:00,2495,2495,2495,2495,,-0.1239
2023/12/6 00:00,2848,2848,2848,2848,,-0.0939
2023/12/5 00:00,3143,3143,3143,3143,,-0.0607
2023/12/4 00:00,3346,3346,3346,3346,,0.0482
2023/12/1 00:00,3192,3192,3192,3192,,0.0868
2023/11/30 00:00,2937,2937,2937,2937,,0.0894
2023/11/29 00:00,2696,2696,2696,2696,,0.1276
2023/11/28 00:00,2391,2391,2391,2391,,0.0584
2023/11/27 00:00,2259,2259,2259,2259,,0.0747
2023/11/24 00:00,2102,2102,2102,2102,,0.1332
2023/11/23 00:00,1855,1855,1855,1855,,0.057
2023/11/22 00:00,1755,1755,1755,1755,,-0.0228
2023/11/21 00:00,1796,1796,1796,1796,,-0.0116
2023/11/20 00:00,1817,1817,1817,1817,,-0.0016
2023/11/17 00:00,1820,1820,1820,1820,,0.0353
2023/11/16 00:00,1758,1758,1758,1758,,0.0415
2023/11/15 00:00,1688,1688,1688,1688,,0.0156
2023/11/14 00:00,1662,1662,1662,1662,,0.0042
2023/11/13 00:00,1655,1655,1655,1655,,0.0073
2023/11/10 00:00,1643,1643,1643,1643,,0.0282
2023/11/9 00:00,1598,1598,1598,1598,,0.0444
2023/11/8 00:00,1530,1530,1530,1530,,-0.0186
2023/11/7 00:00,1559,1559,1559,1559,,0.0236
2023/11/6 00:00,1523,1523,1523,1523,,0.0417
2023/11/3 00:00,1462,1462,1462,1462,,0.0556
2023/11/2 00:00,1385,1385,1385,1385,,-0.0114
2023/11/1 00:00,1401,1401,1401,1401,,-0.0398
2023/10/31 00:00,1459,1459,1459,1459,,-0.0286
2023/10/30 00:00,1502,1502,1502,1502,,-0.039
2023/10/27 00:00,1563,1563,1563,1563,,-0.0596
2023/10/26 00:00,1662,1662,1662,1662,,-0.0928
2023/10/25 00:00,1832,1832,1832,1832,,-0.06
2023/10/24 00:00,1949,1949,1949,1949,,-0.0337
2023/10/23 00:00,2017,2017,2017,2017,,-0.0142
2023/10/20 00:00,2046,2046,2046,2046,,-0.0121
2023/10/19 00:00,2071,2071,2071,2071,,-0.0162
2023/10/18 00:00,2105,2105,2105,2105,,0.0228
2023/10/17 00:00,2058,2058,2058,2058,,0.0436
2023/10/16 00:00,1972,1972,1972,1972,,0.0139
2023/10/13 00:00,1945,1945,1945,1945,,0.0052
2023/10/12 00:00,1935,1935,1935,1935,,-0.0067
2023/10/11 00:00,1948,1948,1948,1948,,-0.0177
2023/10/10 00:00,1983,1983,1983,1983,,-0.004
2023/10/9 00:00,1991,1991,1991,1991,,0.0321
2023/10/6 00:00,1929,1929,1929,1929,,0.0558
2023/10/5 00:00,1827,1827,1827,1827,,0.0276
2023/10/4 00:00,1778,1778,1778,1778,,-0.0011
2023/10/3 00:00,1780,1780,1780,1780,,0.0248
2023/10/2 00:00,1737,1737,1737,1737,,0.0212
2023/9/29 00:00,1701,1701,1701,1701,,-0.0087
2023/9/28 00:00,1716,1716,1716,1716,,-0.0205
2023/9/27 00:00,1752,1752,1752,1752,,0.0342
2023/9/26 00:00,1694,1694,1694,1694,,0.0496
2023/9/25 00:00,1614,1614,1614,1614,,0.0132
2023/9/22 00:00,1593,1593,1593,1593,,0.0153
2023/9/21 00:00,1569,1569,1569,1569,,-0.0095
2023/9/20 00:00,1584,1584,1584,1584,,0.038
2023/9/19 00:00,1526,1526,1526,1526,,0.0605
2023/9/18 00:00,1439,1439,1439,1439,,0.042
2023/9/15 00:00,1381,1381,1381,1381,,0.0306
2023/9/14 00:00,1340,1340,1340,1340,,0.0388
2023/9/13 00:00,1290,1290,1290,1290,,0.0445
2023/9/12 00:00,1235,1235,1235,1235,,0.0215
2023/9/11 00:00,1209,1209,1209,1209,,0.0194
2023/9/8 00:00,1186,1186,1186,1186,,0.0394
2023/9/7 00:00,1141,1141,1141,1141,,0.0555
2023/9/6 00:00,1081,1081,1081,1081,,0.0169
2023/9/5 00:00,1063,1063,1063,1063,,-0.0185
2023/9/4 00:00,1083,1083,1083,1083,,0.0169
2023/9/1 00:00,1065,1065,1065,1065,,-0.0193
2023/8/31 00:00,1086,1086,1086,1086,,-0.0073
2023/8/30 00:00,1094,1094,1094,1094,,-0.0117
2023/8/29 00:00,1107,1107,1107,1107,,0.025
2023/8/25 00:00,1080,1080,1080,1080,,-0.027
