Date,Price,Open,High,Low,Vol.,Change %
2024/7/5 00:00,496.16,491.89,496.57,491.59,25.86M,0.0104
2024/7/3 00:00,491.04,486.22,491.17,486.22,18.06M,0.0083
2024/7/2 00:00,486.98,480.41,487.04,480.28,26.72M,0.0105
2024/7/1 00:00,481.92,480.04,482.49,476.26,24.90M,0.0059
2024/6/28 00:00,479.11,482.41,487.2,478.46,34.88M,-0.0052
2024/6/27 00:00,481.61,480.12,483.1,479.3,26.22M,0.0026
2024/6/26 00:00,480.37,478.55,480.92,478.13,22.74M,0.0021
2024/6/25 00:00,479.38,476.07,479.68,475.12,29.25M,0.0114
2024/6/24 00:00,473.96,478.18,479.93,473.82,37.75M,-0.013
2024/6/21 00:00,480.18,481.19,482.54,478.67,39.43M,-0.0027
2024/6/20 00:00,481.47,486.42,486.84,479.62,33.92M,-0.0077
2024/6/18 00:00,485.21,485.01,485.9,483.43,24.44M,0.0003
2024/6/17 00:00,485.06,479.46,486.86,478.14,37.05M,0.0122
2024/6/14 00:00,479.19,476.52,479.26,476.05,23.37M,0.0052
2024/6/13 00:00,476.72,477.72,478.39,474.42,25.86M,0.0054
2024/6/12 00:00,474.15,471.99,476.5,471.29,34.53M,0.0131
2024/6/11 00:00,468.02,463.54,468.14,462.03,22.05M,0.0069
2024/6/10 00:00,464.83,461.82,465.19,461.53,20.72M,0.004
2024/6/7 00:00,462.96,463,465.74,461.84,25.83M,-0.0009
2024/6/6 00:00,463.37,464.22,464.54,462.19,21.97M,-0.0003
2024/6/5 00:00,463.53,457.98,463.61,454.41,33.82M,0.0202
2024/6/4 00:00,454.37,452.87,455.58,451.13,23.77M,0.0027
2024/6/3 00:00,453.13,454.57,455.58,447.9,33.00M,0.0054
2024/5/31 00:00,450.71,451.78,452.48,443.05,55.94M,-0.0019
2024/5/30 00:00,451.55,455.5,455.64,450.21,30.71M,-0.0107
2024/5/29 00:00,456.44,455.48,458.24,455.34,29.74M,-0.007
2024/5/28 00:00,459.68,459.18,459.74,456.69,26.22M,0.0038
2024/5/24 00:00,457.95,455.29,459.23,453.57,29.67M,0.0095
2024/5/23 00:00,453.66,460.55,460.58,451.85,40.90M,-0.0045
2024/5/22 00:00,455.71,456.06,456.82,453.08,25.12M,-0.0002
2024/5/21 00:00,455.8,453.04,455.99,452.84,23.17M,0.002
2024/5/20 00:00,454.91,451.98,455.58,451.79,24.47M,0.007
2024/5/17 00:00,451.76,452.11,452.72,449.54,35.80M,-0.0005
2024/5/16 00:00,451.98,452.71,454.69,451.81,34.78M,-0.002
2024/5/15 00:00,452.9,448.43,453.15,446.9,41.46M,0.0156
2024/5/14 00:00,445.93,442.65,446.46,442.46,34.48M,0.0064
2024/5/13 00:00,443.08,443.99,444.09,441.65,22.99M,0.0023
