Date,Price,Open,High,Low,Vol.,Change %
2024/7/10 00:00,5633.91,5591.26,5635.39,5586.44,,0.0102
2024/7/9 00:00,5576.98,5584.24,5590.75,5574.57,,0.0007
2024/7/8 00:00,5572.85,5572.75,5583.11,5562.51,,0.001
2024/7/5 00:00,5567.19,5537.91,5570.33,5531.63,,0.0054
2024/7/3 00:00,5537.02,5507.44,5539.27,5507.42,,0.0051
2024/7/2 00:00,5509.01,5461.84,5509.69,5458.43,,0.0062
2024/7/1 00:00,5475.09,5471.08,5479.55,5446.53,,0.0027
2024/6/28 00:00,5460.48,5488.48,5523.64,5451.12,,-0.0041
2024/6/27 00:00,5482.87,5473.59,5490.81,5467.54,,0.0009
2024/6/26 00:00,5477.9,5460.71,5483.14,5451.87,,0.0016
2024/6/25 00:00,5469.3,5460.73,5472.88,5446.56,,0.0039
2024/6/24 00:00,5447.87,5459.58,5490.66,5447.59,,-0.0031
2024/6/21 00:00,5464.62,5466.77,5478.31,5452.03,,-0.0016
2024/6/20 00:00,5473.17,5499.99,5505.53,5455.56,,-0.0025
2024/6/18 00:00,5487.03,5476.15,5490.38,5471.32,,0.0025
2024/6/17 00:00,5473.23,5431.11,5488.5,5420.4,,0.0077
2024/6/14 00:00,5431.6,5424.08,5432.39,5403.75,,-0.0004
2024/6/13 00:00,5433.74,5441.93,5441.93,5402.51,,0.0023
2024/6/12 00:00,5421.03,5409.13,5447.25,5409.13,,0.0085
2024/6/11 00:00,5375.32,5353,5375.95,5327.25,,0.0027
2024/6/10 00:00,5360.79,5341.22,5365.79,5331.52,,0.0026
2024/6/7 00:00,5346.99,5343.81,5375.08,5331.33,,-0.0011
2024/6/6 00:00,5352.96,5357.8,5362.35,5335.36,,-0.0002
2024/6/5 00:00,5354.03,5314.48,5354.16,5297.64,,0.0118
2024/6/4 00:00,5291.34,5278.24,5298.8,5257.63,,0.0015
2024/6/3 00:00,5283.4,5297.15,5302.11,5234.32,,0.0011
2024/5/31 00:00,5277.51,5243.21,5280.33,5191.68,,0.008
2024/5/30 00:00,5235.48,5259.77,5260.21,5222.1,,-0.006
2024/5/29 00:00,5266.95,5278.73,5282.27,5262.7,,-0.0074
2024/5/28 00:00,5306.04,5315.91,5315.91,5280.89,,0.0002
2024/5/24 00:00,5304.72,5281.45,5311.65,5278.39,,0.007
2024/5/23 00:00,5267.84,5340.26,5341.88,5256.93,,-0.0074
2024/5/22 00:00,5307.01,5319.28,5323.18,5286.01,,-0.0027
2024/5/21 00:00,5321.41,5298.69,5324.32,5297.87,,0.0025
2024/5/20 00:00,5308.13,5305.35,5325.32,5302.4,,0.0009
2024/5/17 00:00,5303.27,5303.1,5305.45,5283.59,,0.0012
2024/5/16 00:00,5297.1,5310.07,5325.49,5296.19,,-0.0021
2024/5/15 00:00,5308.15,5263.26,5311.76,5263.26,,0.0117
2024/5/14 00:00,5246.68,5221.1,5250.37,5217.98,,0.0048
2024/5/13 00:00,5221.42,5233.08,5237.26,5211.16,,-0.0002
2024/5/10 00:00,5222.68,5225.49,5239.66,5209.68,,0.0016
2024/5/9 00:00,5214.08,5189.03,5215.3,5180.41,,0.0051
2024/5/8 00:00,5187.67,5168.98,5191.95,5165.86,,0
2024/5/7 00:00,5187.7,5187.2,5200.23,5178.96,,0.0013
2024/5/6 00:00,5180.74,5142.42,5181,5142.42,,0.0103
2024/5/3 00:00,5127.79,5122.78,5139.12,5101.22,,0.0126
2024/5/2 00:00,5064.2,5049.32,5073.21,5011.05,,0.0091
2024/5/1 00:00,5018.39,5029.03,5096.12,5013.45,,-0.0034
2024/4/30 00:00,5035.69,5103.78,5110.83,5035.31,,-0.0157
2024/4/29 00:00,5116.17,5114.13,5123.49,5088.65,,0.0032
2024/4/26 00:00,5099.96,5084.65,5114.62,5073.14,,0.0102
2024/4/25 00:00,5048.42,5019.88,5057.75,4990.58,,-0.0046
2024/4/24 00:00,5071.63,5084.86,5089.48,5047.02,,0.0002
2024/4/23 00:00,5070.55,5028.85,5076.12,5027.96,,0.012
2024/4/22 00:00,5010.6,4987.33,5038.84,4969.4,,0.0087
2024/4/19 00:00,4967.23,5005.44,5019.02,4953.56,,-0.0088
2024/4/18 00:00,5011.12,5031.52,5056.66,5001.89,,-0.0022
2024/4/17 00:00,5022.21,5068.97,5077.96,5007.25,,-0.0058
2024/4/16 00:00,5051.41,5064.59,5079.84,5039.83,,-0.0021
2024/4/15 00:00,5061.82,5149.67,5168.43,5052.47,,-0.012
2024/4/12 00:00,5123.41,5171.51,5175.03,5107.94,,-0.0146
2024/4/11 00:00,5199.06,5172.95,5211.78,5138.77,,0.0074
2024/4/10 00:00,5160.64,5167.88,5178.43,5138.7,,-0.0095
2024/4/9 00:00,5209.91,5217.03,5224.81,5160.78,,0.0014
2024/4/8 00:00,5202.39,5211.37,5219.57,5197.35,,-0.0004
2024/4/5 00:00,5204.34,5158.95,5222.18,5157.21,,0.0111
2024/4/4 00:00,5147.21,5244.05,5256.59,5146.06,,-0.0123
2024/4/3 00:00,5211.49,5194.37,5228.75,5194.37,,0.0011
2024/4/2 00:00,5205.81,5204.29,5208.34,5184.05,,-0.0072
2024/4/1 00:00,5243.77,5257.97,5263.95,5229.2,,-0.002
2024/3/28 00:00,5254.35,5248.03,5264.85,5245.82,,0.0011
2024/3/27 00:00,5248.49,5226.31,5249.26,5213.92,,0.0086
2024/3/26 00:00,5203.58,5228.85,5235.16,5203.42,,-0.0028
2024/3/25 00:00,5218.19,5219.52,5229.09,5216.09,,-0.0031
2024/3/22 00:00,5234.18,5242.48,5246.09,5229.87,,-0.0014
2024/3/21 00:00,5241.53,5253.43,5261.1,5240.66,,0.0032
2024/3/20 00:00,5224.62,5181.69,5226.19,5171.55,,0.0089
2024/3/19 00:00,5178.51,5139.09,5180.31,5131.59,,0.0056
2024/3/18 00:00,5149.42,5154.77,5175.6,5145.47,,0.0063
2024/3/15 00:00,5117.09,5123.31,5136.86,5104.35,,-0.0065
2024/3/14 00:00,5150.48,5175.14,5176.85,5123.3,,-0.0029
2024/3/13 00:00,5165.31,5173.49,5179.14,5151.88,,-0.0019
2024/3/12 00:00,5175.27,5134.3,5179.87,5114.48,,0.0112
2024/3/11 00:00,5117.94,5111.96,5124.66,5091.14,,-0.0011
2024/3/8 00:00,5123.69,5164.46,5189.26,5117.5,,-0.0065
2024/3/7 00:00,5157.36,5132.38,5165.62,5128.21,,0.0103
2024/3/6 00:00,5104.76,5108.03,5127.97,5092.22,,0.0051
2024/3/5 00:00,5078.65,5110.52,5114.54,5056.82,,-0.0102
2024/3/4 00:00,5130.95,5130.99,5149.67,5127.18,,-0.0012
2024/3/1 00:00,5137.08,5098.51,5140.33,5094.16,,0.008
2024/2/29 00:00,5096.27,5085.36,5104.99,5061.89,,0.0052
2024/2/28 00:00,5069.76,5067.2,5077.37,5058.35,,-0.0017
2024/2/27 00:00,5078.18,5074.6,5080.69,5057.29,,0.0017
2024/2/26 00:00,5069.53,5093,5097.66,5068.91,,-0.0038
2024/2/23 00:00,5088.8,5100.92,5111.06,5081.46,,0.0003
2024/2/22 00:00,5087.03,5038.83,5094.39,5038.83,,0.0211
2024/2/21 00:00,4981.8,4963.03,4983.21,4946,,0.0013
2024/2/20 00:00,4975.51,4989.32,4993.71,4955.02,,-0.006
2024/2/16 00:00,5005.57,5031.13,5038.7,4999.52,,-0.0048
2024/2/15 00:00,5029.73,5003.14,5032.72,4999.44,,0.0058
2024/2/14 00:00,5000.62,4976.44,5002.52,4956.45,,0.0096
2024/2/13 00:00,4953.17,4967.94,4971.3,4920.31,,-0.0137
2024/2/12 00:00,5021.84,5026.83,5048.39,5016.83,,-0.0009
2024/2/9 00:00,5026.61,5004.17,5030.06,5000.34,,0.0057
2024/2/8 00:00,4997.91,4995.16,5000.4,4987.09,,0.0006
2024/2/7 00:00,4995.06,4973.05,4999.89,4969.05,,0.0082
2024/2/6 00:00,4954.23,4950.16,4957.77,4934.88,,0.0023
2024/2/5 00:00,4942.81,4957.19,4957.19,4918.09,,-0.0032
2024/2/2 00:00,4958.61,4916.06,4975.29,4907.99,,0.0107
2024/2/1 00:00,4906.19,4861.11,4906.97,4853.52,,0.0125
2024/1/31 00:00,4845.65,4899.19,4906.75,4845.15,,-0.0161
2024/1/30 00:00,4924.97,4925.89,4931.09,4916.27,,-0.0006
2024/1/29 00:00,4927.93,4892.95,4929.31,4887.4,,0.0076
2024/1/26 00:00,4890.97,4888.91,4906.69,4881.47,,-0.0007
2024/1/25 00:00,4894.16,4886.66,4898.15,4869.34,,0.0053
2024/1/24 00:00,4868.55,4888.56,4903.68,4865.94,,0.0008
2024/1/23 00:00,4864.6,4856.8,4866.48,4844.37,,0.0029
2024/1/22 00:00,4850.43,4853.42,4868.41,4844.05,,0.0022
2024/1/19 00:00,4839.81,4796.28,4842.07,4785.87,,0.0123
