Date,Price,Open,High,Low,Vol.,Change %
2024/7/10 00:00,5903.3,5818.3,5913.9,5799.7,0.00K,0.024
2024/7/9 00:00,5765.2,5798.6,5826.2,5713.9,0.00K,0
2024/7/8 00:00,5765.2,5701.3,5772.5,5700.9,0.00K,0.0193
2024/7/5 00:00,5656.3,5684,5703.5,5625.5,0.00K,0.0008
2024/7/3 00:00,5651.7,5555.5,5673.6,5537,0.00K,0.0192
2024/7/2 00:00,5545,5443.3,5546,5442.1,0.00K,0.0124
2024/7/1 00:00,5477.1,5472,5481.6,5371.1,0.00K,0.0009
2024/6/28 00:00,5472.3,5454.4,5583.1,5431.3,0.00K,0.0094
2024/6/27 00:00,5421.1,5435.3,5477.5,5389.3,0.00K,-0.0057
2024/6/26 00:00,5452.3,5469.6,5499.4,5389.5,0.00K,-0.0028
2024/6/25 00:00,5467.7,5413,5470.3,5361.8,0.00K,0.0179
2024/6/24 00:00,5371.5,5485.2,5519.4,5369.6,0.00K,-0.0302
2024/6/21 00:00,5538.5,5538.2,5613.5,5482.5,0.00K,-0.0127
2024/6/20 00:00,5610,5787.9,5789.6,5577.6,0.00K,-0.0269
2024/6/18 00:00,5765.1,5705.5,5792.9,5696,0.00K,0.0135
2024/6/17 00:00,5688.1,5640,5699.2,5571.4,0.00K,0.016
2024/6/14 00:00,5598.3,5558.6,5613.3,5540.9,0.00K,-0.0007
2024/6/13 00:00,5602.4,5590.6,5624,5527.2,0.00K,0.0148
2024/6/12 00:00,5520.9,5456.2,5543.6,5452.8,0.00K,0.029
2024/6/11 00:00,5365.4,5343.3,5374.2,5287,0.00K,0.0006
2024/6/10 00:00,5362.4,5243.7,5379.5,5238.8,0.00K,0.0142
2024/6/7 00:00,5287.2,5288.1,5322.1,5254.9,0.00K,-0.0027
2024/6/6 00:00,5301.7,5344,5353.5,5260.6,0.00K,-0.0086
2024/6/5 00:00,5347.4,5208.1,5348.9,5193.7,0.00K,0.0452
2024/6/4 00:00,5116.3,5144.5,5149,5074.4,0.00K,-0.007
2024/6/3 00:00,5152.5,5215.1,5215.1,5059.9,0.00K,0.0057
2024/5/31 00:00,5123.4,5180.6,5204.5,4988,0.00K,-0.0096
2024/5/30 00:00,5173.3,5208.8,5228.2,5145.9,0.00K,-0.0088
2024/5/29 00:00,5219.3,5234.4,5249.7,5206.9,0.00K,-0.0185
2024/5/28 00:00,5317.9,5286,5343.7,5235.9,0.00K,0.0186
2024/5/24 00:00,5220.9,5167,5232.3,5149.3,0.00K,0.0185
2024/5/23 00:00,5126,5243.7,5255.6,5082,0.00K,-0.0002
2024/5/22 00:00,5126.8,5115,5140.8,5074.4,0.00K,0.0103
2024/5/21 00:00,5074.4,5031,5080.9,5020.6,0.00K,-0.0031
2024/5/20 00:00,5090.4,5002.1,5119.2,4999.4,0.00K,0.0215
2024/5/18 00:00,4983,5048.9,4983,4983,0.00K,0
2024/5/17 00:00,4983,5048.9,5056,4947.2,0.00K,-0.0069
2024/5/16 00:00,5017.5,5045,5084.6,5017.3,0.00K,-0.0055
2024/5/15 00:00,5045.1,4946.2,5046.3,4930.7,0.00K,0.0288
2024/5/14 00:00,4903.9,4817.4,4908.5,4811.8,0.00K,0.0168
2024/5/13 00:00,4823.1,4828.6,4846.8,4811,0.00K,0.0031
2024/5/10 00:00,4808,4814.9,4857.8,4787.8,0.00K,0.0101
2024/5/9 00:00,4759.8,4786.5,4789.4,4737.5,0.00K,-0.0064
2024/5/8 00:00,4790.4,4741.7,4794.3,4737.3,,0.0012
2024/5/7 00:00,4784.9,4825.7,4840.6,4783.9,,-0.0074
2024/5/6 00:00,4820.4,4749.9,4820.5,4739.4,,0.0221
2024/5/3 00:00,4716.2,4696,4740.5,4675.7,,0.0241
2024/5/2 00:00,4605.3,4586.6,4620.7,4498.5,,0.0217
2024/5/1 00:00,4507.7,4588.4,4660,4482.1,,-0.0354
2024/4/30 00:00,4673.3,4756.7,4803,4671.8,,-0.0194
2024/4/29 00:00,4765.8,4735.4,4772.1,4690.8,,0.0064
2024/4/26 00:00,4735.3,4619.8,4756.9,4616.4,,0.0261
2024/4/25 00:00,4615,4515.9,4645.6,4492.9,,0.0196
2024/4/24 00:00,4526.2,4608,4616.9,4490.5,,0.0106
2024/4/23 00:00,4478.8,4415.6,4500.3,4407.2,,0.0221
2024/4/22 00:00,4381.9,4351.2,4411.6,4299.7,,0.0174
2024/4/19 00:00,4306.9,4444.9,4480.1,4288,,-0.0412
2024/4/18 00:00,4491.7,4541.5,4567.6,4474.9,,-0.0166
2024/4/17 00:00,4567.3,4725.8,4733.4,4561.6,,-0.0325
2024/4/16 00:00,4720.5,4682.8,4744.2,4670.4,,0.0089
2024/4/15 00:00,4679.1,4804.2,4827.9,4658.9,,-0.0139
2024/4/12 00:00,4745,4810.7,4819.8,4735.5,,-0.0329
2024/4/11 00:00,4906.4,4816.1,4911.5,4784.4,,0.0242
2024/4/10 00:00,4790.3,4789.9,4847.5,4761.1,,-0.0165
2024/4/9 00:00,4870.8,4869.4,4890.9,4785.6,,0.0094
2024/4/8 00:00,4825.4,4848.7,4868.9,4808.8,,0.0013
2024/4/5 00:00,4819.1,4784.2,4847.5,4751,,0.0133
2024/4/4 00:00,4756.1,4973.3,4984.9,4751,,-0.0301
2024/4/3 00:00,4903.5,4838.1,4938.3,4831.5,,0.0034
2024/4/2 00:00,4886.9,4883.6,4898.1,4834.2,,-0.0151
2024/4/1 00:00,4962.1,4921.5,5030.5,4920,,0.0116
2024/3/28 00:00,4905.2,4892.5,4926.8,4887.1,,0.0011
2024/3/27 00:00,4899.9,4902.3,4903.2,4815.1,,0.0099
2024/3/26 00:00,4851.9,4920.2,4943.3,4849.8,,-0.0081
2024/3/25 00:00,4891.5,4838.3,4937.3,4836.4,,-0.0034
2024/3/22 00:00,4908.3,4876,4945.6,4869,,0.0021
2024/3/21 00:00,4897.9,4949.1,4983.5,4890.5,,0.0229
2024/3/20 00:00,4788.2,4718.2,4798.3,4682.5,,0.016
2024/3/19 00:00,4712.8,4683.7,4734.5,4620.5,,-0.0094
2024/3/18 00:00,4757.6,4834.1,4856.4,4751.4,,0
2024/3/15 00:00,4757.7,4745.7,4808.7,4719.7,,-0.0054
2024/3/14 00:00,4783.6,4859.7,4880,4741.6,,-0.0175
2024/3/13 00:00,4869,4926.7,4932.1,4841.7,,-0.0247
2024/3/12 00:00,4992.5,4946.8,4993,4868.4,,0.0209
2024/3/11 00:00,4890.2,4888.4,4926.4,4835.9,,-0.0136
2024/3/8 00:00,4957.8,5185.3,5217.8,4957.2,,-0.0403
2024/3/7 00:00,5165.8,5063.5,5187.6,5062.7,,0.0336
2024/3/6 00:00,4997.9,4976.6,5052,4947.1,,0.0242
2024/3/5 00:00,4879.8,4921.7,4954,4829.4,,-0.0205
2024/3/4 00:00,4982,4973.5,5037.6,4956.1,,0.0106
2024/3/1 00:00,4929.6,4781,4950.3,4781,,0.0429
2024/2/29 00:00,4726.9,4663.9,4737.1,4645.5,,0.027
2024/2/28 00:00,4602.6,4602.1,4627.2,4583.8,,-0.0112
2024/2/27 00:00,4654.9,4680.2,4697.2,4651.4,,-0.0018
2024/2/26 00:00,4663.5,4658.9,4683.9,4634.8,,0.0105
2024/2/23 00:00,4615,4688.6,4709.5,4593,,-0.0112
2024/2/22 00:00,4667.4,4632.6,4687.3,4604.2,,0.0497
2024/2/21 00:00,4446.4,4403,4446.8,4383.9,,-0.0024
2024/2/20 00:00,4456.9,4489.9,4507.5,4389.8,,-0.0156
2024/2/16 00:00,4527.7,4585.3,4624.5,4515,,-0.0067
2024/2/15 00:00,4558.1,4591.6,4599.9,4540.1,,-0.0016
2024/2/14 00:00,4565.4,4533.3,4568.1,4503.3,,0.0218
2024/2/13 00:00,4468.2,4412.9,4515,4408.5,,-0.0201
2024/2/12 00:00,4560,4566.2,4644,4543,,-0.0016
2024/2/9 00:00,4567.3,4505.8,4574.9,4479.1,,0.0199
2024/2/8 00:00,4478,4425,4510.2,4417.8,,0.0157
2024/2/7 00:00,4408.7,4364.3,4412.6,4329.9,,0.0162
2024/2/6 00:00,4338.3,4388.7,4396.4,4291.9,,-0.0114
2024/2/5 00:00,4388.1,4370.8,4407,4320.1,,0.0118
2024/2/2 00:00,4336.7,4273.1,4346,4270.8,,0.0131
2024/2/1 00:00,4280.5,4270.6,4291.3,4226.6,,0.0046
2024/1/31 00:00,4260.9,4239.9,4334.8,4221,,-0.0137
2024/1/30 00:00,4320,4363.6,4384.1,4301.9,,-0.0156
2024/1/29 00:00,4388.3,4355,4388.4,4323.6,,0.0106
2024/1/26 00:00,4342.1,4366.9,4405.4,4331,,-0.0291
2024/1/25 00:00,4472.3,4562.2,4566.6,4450,,-0.0025
2024/1/24 00:00,4483.3,4475.5,4541.8,4435.6,,0.0154
2024/1/23 00:00,4415.3,4384,4419.2,4347.9,,0.0065
2024/1/22 00:00,4386.6,4410.1,4439.6,4347.2,,0.0025
2024/1/19 00:00,4375.7,4258.3,4380.8,4240.8,,0.0402
2024/1/18 00:00,4206.5,4194.5,4213,4139.8,,0.0336
2024/1/17 00:00,4069.9,4065.1,4075.2,4001.3,,-0.0088
2024/1/16 00:00,4105.9,4050,4133,4035.9,,0.0132
2024/1/12 00:00,4052.4,4073.4,4089.3,4031,,-0.0038
