Date,Price,Open,High,Low,Vol.,Change %
2024/7/5 00:00,41.54,41.64,41.64,41.31,21.39M,-0.0002
2024/7/3 00:00,41.55,41.72,41.76,41.53,21.11M,-0.0031
2024/7/2 00:00,41.68,41.12,41.68,41.1,27.03M,0.0117
2024/7/1 00:00,41.2,41.28,41.55,41.03,36.13M,0.0022
2024/6/28 00:00,41.11,41.06,41.37,40.94,44.05M,0.0034
2024/6/27 00:00,40.97,40.9,41.02,40.72,25.47M,-0.0012
2024/6/26 00:00,41.02,41.09,41.11,40.82,37.98M,-0.0063
2024/6/25 00:00,41.28,41.51,41.64,41.16,32.85M,-0.0075
2024/6/24 00:00,41.59,41.34,41.85,41.24,45.25M,0.0063
2024/6/21 00:00,41.33,41.39,41.43,41.09,42.53M,-0.0039
2024/6/20 00:00,41.49,41.18,41.6,41.13,42.87M,0.0053
2024/6/18 00:00,41.27,40.96,41.27,40.92,38.90M,0.0063
2024/6/17 00:00,41.01,40.55,41.02,40.48,36.08M,0.0089
2024/6/14 00:00,40.65,40.5,40.73,40.37,29.08M,-0.0032
2024/6/13 00:00,40.78,40.81,40.82,40.5,39.50M,-0.0007
2024/6/12 00:00,40.81,41.27,41.32,40.75,46.40M,-0.001
2024/6/11 00:00,40.85,41.12,41.14,40.65,54.58M,-0.0114
2024/6/10 00:00,41.32,41.3,41.37,41.05,31.62M,-0.0039
2024/6/7 00:00,41.48,41.3,41.71,41.22,42.27M,0.0046
2024/6/6 00:00,41.29,41.38,41.5,41.13,39.04M,-0.0005
2024/6/5 00:00,41.31,41.32,41.36,41.01,23.82M,0.0029
2024/6/4 00:00,41.19,41.16,41.5,41,27.59M,-0.0046
2024/6/3 00:00,41.38,41.63,41.67,41.01,37.86M,-0.0062
2024/5/31 00:00,41.64,41.12,41.68,41,38.66M,0.0146
2024/5/30 00:00,41.04,40.86,41.13,40.76,32.77M,0.0054
2024/5/29 00:00,40.82,40.82,40.95,40.69,40.62M,-0.008
2024/5/28 00:00,41.15,41.52,41.52,41,31.00M,-0.0111
2024/5/24 00:00,41.61,41.44,41.62,41.44,23.48M,0.006
2024/5/23 00:00,41.36,41.9,41.94,41.2,51.77M,-0.0138
2024/5/22 00:00,41.94,42.09,42.27,41.85,38.37M,-0.0057
2024/5/21 00:00,42.18,41.99,42.22,41.97,33.41M,0.0064
2024/5/20 00:00,41.91,42.4,42.46,41.89,35.72M,-0.0137
2024/5/17 00:00,42.49,42.25,42.49,42.2,29.81M,0.0078
2024/5/16 00:00,42.16,42.27,42.38,42.16,34.84M,-0.0005
2024/5/15 00:00,42.18,42.08,42.22,41.99,35.86M,0.0074
2024/5/14 00:00,41.87,41.79,41.9,41.66,30.03M,0.0043
2024/5/13 00:00,41.69,41.95,42.02,41.66,28.50M,-0.0036
2024/5/10 00:00,41.84,41.83,41.91,41.77,33.60M,0.0041
2024/5/9 00:00,41.67,41.26,41.67,41.25,31.59M,0.0075
2024/5/8 00:00,41.36,41.17,41.43,41.06,28.39M,0.0039
2024/5/7 00:00,41.2,41.21,41.29,41.1,37.75M,0.0032
2024/5/6 00:00,41.07,40.86,41.07,40.77,42.34M,0.0128
2024/5/3 00:00,40.55,40.7,40.79,40.35,45.01M,0.0022
2024/5/2 00:00,40.46,40.64,40.69,40.17,37.09M,0.0025
2024/5/1 00:00,40.36,40.33,40.85,40.28,54.53M,0
2024/4/30 00:00,40.36,40.67,40.76,40.36,33.86M,-0.0098
2024/4/29 00:00,40.76,40.81,40.99,40.61,36.60M,-0.0015
2024/4/26 00:00,40.82,40.81,41.04,40.72,35.68M,-0.0015
2024/4/25 00:00,40.88,40.92,41.03,40.53,50.26M,-0.0058
2024/4/24 00:00,41.12,41.02,41.17,40.91,33.62M,-0.0002
2024/4/23 00:00,41.13,41.06,41.23,40.95,36.07M,0.0064
2024/4/22 00:00,40.87,40.6,41.1,40.43,50.28M,0.0121
2024/4/19 00:00,40.38,40.05,40.46,39.97,55.51M,0.0138
2024/4/18 00:00,39.83,39.87,40.18,39.74,48.72M,0.0035
2024/4/17 00:00,39.69,39.77,39.94,39.53,41.56M,0.0025
2024/4/16 00:00,39.59,39.89,39.98,39.53,66.75M,-0.0068
2024/4/15 00:00,39.86,40.58,40.74,39.74,71.80M,-0.005
2024/4/12 00:00,40.06,40.33,40.5,39.9,81.23M,-0.0133
2024/4/11 00:00,40.6,40.87,40.93,40.35,56.87M,-0.0071
2024/4/10 00:00,40.89,41.11,41.27,40.76,59.17M,-0.0149
2024/4/9 00:00,41.51,41.77,41.88,41.17,51.97M,-0.0057
2024/4/8 00:00,41.75,41.58,41.82,41.56,34.92M,0.0043
2024/4/5 00:00,41.57,41.34,41.67,41.2,47.54M,0.0095
2024/4/4 00:00,41.18,42,42.08,41.13,52.66M,-0.0113
2024/4/3 00:00,41.65,41.68,41.96,41.53,39.69M,-0.0005
2024/4/2 00:00,41.67,41.76,41.81,41.6,36.36M,-0.0053
2024/4/1 00:00,41.89,42.16,42.19,41.81,36.45M,-0.0055
2024/3/28 00:00,42.12,41.94,42.22,41.87,41.49M,0.0055
2024/3/27 00:00,41.89,41.6,41.9,41.49,36.32M,0.0118
2024/3/26 00:00,41.4,41.41,41.53,41.27,30.14M,0.0034
2024/3/25 00:00,41.26,41.39,41.46,41.26,31.78M,-0.0039
2024/3/22 00:00,41.42,41.95,42.03,41.39,31.99M,-0.0115
2024/3/21 00:00,41.9,41.66,42,41.61,49.03M,0.0082
2024/3/20 00:00,41.56,41.02,41.59,40.95,52.26M,0.0119
2024/3/19 00:00,41.07,40.9,41.09,40.88,36.75M,0.0049
2024/3/18 00:00,40.87,40.78,40.92,40.58,39.14M,0.002
2024/3/15 00:00,40.79,40.6,40.98,40.52,67.47M,-0.001
2024/3/14 00:00,40.83,41.17,41.25,40.61,65.56M,-0.008
2024/3/13 00:00,41.16,40.94,41.17,40.91,43.32M,0.0073
2024/3/12 00:00,40.86,40.78,40.98,40.64,53.20M,0.0042
2024/3/11 00:00,40.69,40.47,40.73,40.4,36.23M,0.0017
2024/3/8 00:00,40.62,40.61,40.83,40.56,47.27M,0.0017
2024/3/7 00:00,40.55,40.76,40.83,40.4,35.51M,-0.0015
2024/3/6 00:00,40.61,40.46,40.73,40.28,58.36M,0.0052
2024/3/5 00:00,40.4,40.25,40.63,40.25,50.74M,0.0002
2024/3/4 00:00,40.39,40.22,40.5,40.21,53.37M,0.0025
2024/3/1 00:00,40.29,40.33,40.42,40.15,40.79M,-0.0012
2024/2/29 00:00,40.34,40.46,40.55,40.17,37.45M,-0.0005
2024/2/28 00:00,40.36,40.13,40.5,40.12,40.02M,0.0037
2024/2/27 00:00,40.21,40.14,40.22,39.94,42.60M,0.0027
2024/2/26 00:00,40.1,40.26,40.53,40.03,38.22M,-0.005
2024/2/23 00:00,40.3,40.25,40.47,40.22,42.19M,0.005
2024/2/22 00:00,40.1,39.86,40.24,39.79,55.19M,0.0116
2024/2/21 00:00,39.64,39.47,39.64,39.33,40.26M,0.003
2024/2/20 00:00,39.52,39.35,39.66,39.31,39.86M,-0.0028
2024/2/16 00:00,39.63,39.73,39.81,39.55,37.90M,-0.0035
2024/2/15 00:00,39.77,39.22,39.85,39.21,58.11M,0.0171
2024/2/14 00:00,39.1,38.96,39.13,38.81,58.04M,0.0096
2024/2/13 00:00,38.73,38.96,39.06,38.42,62.36M,-0.0135
2024/2/12 00:00,39.26,39.08,39.43,38.99,39.89M,0.0046
2024/2/9 00:00,39.08,38.92,39.1,38.82,50.68M,0.0028
2024/2/8 00:00,38.97,38.94,39.08,38.72,47.33M,-0.0038
2024/2/7 00:00,39.12,39.04,39.17,38.77,38.90M,0.0075
2024/2/6 00:00,38.83,38.7,38.88,38.65,41.06M,0.0021
2024/2/5 00:00,38.75,38.76,38.88,38.58,37.35M,-0.0059
2024/2/2 00:00,38.98,38.69,39.16,38.67,61.78M,0.0041
2024/2/1 00:00,38.82,38.69,38.85,38.25,63.45M,0.0015
2024/1/31 00:00,38.76,39.16,39.45,38.74,65.78M,-0.0122
2024/1/30 00:00,39.24,38.79,39.28,38.77,42.54M,0.0126
2024/1/29 00:00,38.75,38.53,38.78,38.43,43.95M,0.0026
2024/1/26 00:00,38.65,38.45,38.72,38.41,38.62M,0.0036
2024/1/25 00:00,38.51,38.47,38.55,38.27,50.18M,0.005
2024/1/24 00:00,38.32,38.33,38.53,38.29,43.87M,0.0039
2024/1/23 00:00,38.17,38.09,38.2,38.01,46.26M,0.0016
2024/1/22 00:00,38.11,38.09,38.3,38.02,51.79M,0.0047
2024/1/19 00:00,37.93,37.47,37.98,37.35,59.42M,0.0161
2024/1/18 00:00,37.33,37.22,37.37,36.95,41.98M,0.0016
2024/1/17 00:00,37.27,37.02,37.42,37,38.72M,-0.0019
2024/1/16 00:00,37.34,37.28,37.41,37.13,44.01M,-0.0069
2024/1/12 00:00,37.6,37.85,37.99,37.44,41.33M,-0.0019
2024/1/11 00:00,37.67,37.76,37.81,37.37,49.04M,-0.0037
2024/1/10 00:00,37.81,37.69,37.84,37.57,37.02M,0.0016
2024/1/9 00:00,37.75,37.79,37.79,37.63,36.29M,-0.0063
2024/1/8 00:00,37.99,37.76,38.01,37.56,38.91M,0.0064
2024/1/5 00:00,37.75,37.59,37.95,37.57,44.85M,0.0043
2024/1/4 00:00,37.59,37.57,37.89,37.52,36.64M,0.004
2024/1/3 00:00,37.44,37.59,37.65,37.38,46.91M,-0.0085
2024/1/2 00:00,37.76,37.5,37.78,37.43,31.35M,0.0043
2023/12/29 00:00,37.6,37.71,37.77,37.49,30.22M,-0.0032
2023/12/28 00:00,37.72,37.55,37.8,37.54,25.31M,0.0029
2023/12/27 00:00,37.61,37.41,37.61,37.35,32.57M,0.0032
2023/12/26 00:00,37.49,37.37,37.56,37.31,17.83M,0.004
2023/12/22 00:00,37.34,37.37,37.49,37.2,30.33M,0.0021
2023/12/21 00:00,37.26,37.06,37.27,36.92,27.32M,0.0098
2023/12/20 00:00,36.9,37.47,37.56,36.9,52.47M,-0.0178
2023/12/19 00:00,37.57,37.27,37.58,37.17,32.48M,0.0075
2023/12/18 00:00,37.29,37.35,37.42,37.25,43.43M,-0.0016
2023/12/15 00:00,37.35,37.26,37.44,37.19,69.25M,-0.0059
2023/12/14 00:00,37.57,37.5,37.71,37.37,66.71M,0.0099
2023/12/13 00:00,37.2,36.62,37.24,36.55,56.99M,0.0161
2023/12/12 00:00,36.61,36.44,36.62,36.29,37.19M,0.0072
2023/12/11 00:00,36.35,36.14,36.42,36.14,31.17M,0.0061
