DATE,PCE,FEDFUNDS,UNRATE,CPIAUCSL,PAYEMS
2024/5/1,,5.33,4,313.23,158534
2024/4/1,19340.6,5.33,3.9,313.21,158286
2024/3/1,19301.5,5.33,3.8,312.23,158111
2024/2/1,19158.4,5.33,3.9,311.05,157796
2024/1/1,19032.7,5.33,3.7,309.69,157560
2023/12/1,19013.7,5.33,3.7,308.74,157304
2023/11/1,18903,5.33,3.7,308.02,157014
2023/10/1,18826.8,5.33,3.8,307.53,156832
2023/9/1,18791.5,5.33,3.8,307.29,156667
2023/8/1,18651.6,5.33,3.8,306.19,156421
2023/7/1,18595.4,5.12,3.5,304.63,156211
2023/6/1,18485.4,5.08,3.6,304,156027
2023/5/1,18407.8,5.06,3.7,303.37,155787
2023/4/1,18363.8,4.83,3.4,303.03,155484
2023/3/1,18282.6,4.65,3.5,301.74,155206
2023/2/1,18296.5,4.57,3.6,301.51,155060
2023/1/1,18229.6,4.33,3.4,300.36,154773
2022/12/1,17943.6,4.1,3.5,298.81,154291
2022/11/1,17892.5,3.78,3.6,298.65,154155
2022/10/1,17915.1,3.08,3.6,297.86,153897
2022/9/1,17804,2.56,3.5,296.34,153536
2022/8/1,17692.2,2.33,3.6,295.21,153281
2022/7/1,17556.4,1.68,3.5,294.98,153038
2022/6/1,17550,1.21,3.6,295,152348
2022/5/1,17384.8,0.77,3.6,291.36,151928
2022/4/1,17310.5,0.33,3.7,288.76,151642
2022/3/1,17203.6,0.2,3.6,287.55,151370
2022/2/1,16999.7,0.08,3.8,284.54,150876
2022/1/1,16888.6,0.08,4,282.39,150014
2021/12/1,16799.2,0.08,3.9,280.81,149763
2021/11/1,16741.6,0.08,4.1,278.8,149197
2021/10/1,16613.8,0.08,4.5,276.43,148566
2021/9/1,16398.9,0.08,4.7,273.89,147706
2021/8/1,16305.6,0.09,5.1,272.79,147226
2021/7/1,16150.8,0.1,5.4,271.99,146761
2021/6/1,16108.5,0.08,5.9,270.66,145822
2021/5/1,15890,0.06,5.8,268.45,145044
2021/4/1,15854.1,0.07,6.1,266.75,144593
2021/3/1,15657.6,0.07,6.1,264.91,144274
2021/2/1,14948.2,0.08,6.2,263.58,143443
2021/1/1,15047.3,0.09,6.4,262.52,142916
2020/12/1,14801.8,0.09,6.7,262.01,142518
2020/11/1,14675.8,0.09,6.7,260.9,142761
2020/10/1,14702.5,0.09,6.8,260.25,142493
2020/9/1,14655,0.09,7.8,259.95,141820
2020/8/1,14428.4,0.1,8.4,259.37,140774
2020/7/1,14285.1,0.09,10.2,258.41,139240
2020/6/1,14027.1,0.08,11,257,137655
2020/5/1,13251.4,0.05,13.2,255.85,133040
2020/4/1,12228.3,0.05,14.8,256.13,130421
2020/3/1,13793,0.65,4.4,258.15,150898
2020/2/1,14810.7,1.58,3.5,259.25,152309
2020/1/1,14815.7,1.55,3.6,258.91,152045
2019/12/1,14741.3,1.55,3.6,258.63,151792
2019/11/1,14678.6,1.55,3.6,257.88,151666
2019/10/1,14584,1.83,3.6,257.16,151458
2019/9/1,14555.6,2.04,3.5,256.43,151358
2019/8/1,14525.7,2.13,3.6,256.04,151155
2019/7/1,14471.8,2.4,3.7,255.8,150934
2019/6/1,14391.2,2.38,3.6,255.21,150844
2019/5/1,14340.8,2.39,3.6,255.3,150640
2019/4/1,14278.3,2.42,3.7,255.23,150602
2019/3/1,14240.1,2.41,3.8,254.28,150294
