Date,SOX,USD_index,VIX
2024/5/30 00:00,5173.3,104.72,14.47
2024/5/29 00:00,5219.3,105.1,14.28
2024/5/28 00:00,5317.9,104.61,12.92
2024/5/24 00:00,5220.9,104.72,11.93
2024/5/23 00:00,5126,105.11,12.77
2024/5/22 00:00,5126.8,104.93,12.29
2024/5/21 00:00,5074.4,104.66,11.86
2024/5/20 00:00,5090.4,104.57,12.15
2024/5/17 00:00,4983,104.44,11.99
2024/5/16 00:00,5017.5,104.46,12.42
2024/5/15 00:00,5045.1,104.35,12.45
2024/5/14 00:00,4903.9,105.01,13.42
2024/5/13 00:00,4823.1,105.22,13.6
2024/5/10 00:00,4808,105.3,12.55
2024/5/9 00:00,4759.8,105.23,12.69
2024/5/8 00:00,4790.4,105.55,13
2024/5/7 00:00,4784.9,105.41,13.23
2024/5/6 00:00,4820.4,105.05,13.49
2024/5/3 00:00,4716.2,105.03,13.49
2024/5/2 00:00,4605.3,105.3,14.68
2024/5/1 00:00,4507.7,105.75,15.39
2024/4/30 00:00,4673.3,106.22,15.65
2024/4/29 00:00,4765.8,105.58,14.67
2024/4/26 00:00,4735.3,105.94,15.03
2024/4/25 00:00,4615,105.6,15.37
2024/4/24 00:00,4526.2,105.86,15.97
2024/4/23 00:00,4478.8,105.68,15.69
2024/4/22 00:00,4381.9,106.08,16.94
2024/4/19 00:00,4306.9,106.15,18.71
2024/4/18 00:00,4491.7,106.15,18
2024/4/17 00:00,4567.3,105.95,18.21
2024/4/16 00:00,4720.5,106.26,18.4
2024/4/15 00:00,4679.1,106.21,19.23
2024/4/12 00:00,4745,106.04,17.31
2024/4/11 00:00,4906.4,105.28,14.91
2024/4/10 00:00,4790.3,105.25,15.8
2024/4/9 00:00,4870.8,104.15,14.98
2024/4/8 00:00,4825.4,104.14,15.19
2024/4/5 00:00,4819.1,104.3,16.03
2024/4/4 00:00,4756.1,104.12,16.35
2024/4/3 00:00,4903.5,104.25,14.33
2024/4/2 00:00,4886.9,104.82,14.61
2024/4/1 00:00,4962.1,105.02,13.65
2024/3/28 00:00,4905.2,104.55,13.01
2024/3/27 00:00,4899.9,104.35,12.78
2024/3/26 00:00,4851.9,104.29,13.24
2024/3/25 00:00,4891.5,104.24,13.19
2024/3/22 00:00,4908.3,104.47,13.06
2024/3/21 00:00,4897.9,104,12.92
2024/3/20 00:00,4788.2,103.41,13.04
2024/3/19 00:00,4712.8,103.84,13.82
2024/3/18 00:00,4757.6,103.59,14.33
2024/3/15 00:00,4757.7,103.43,14.41
2024/3/14 00:00,4783.6,103.36,14.4
2024/3/13 00:00,4869,102.79,13.75
2024/3/12 00:00,4992.5,102.96,13.84
2024/3/11 00:00,4890.2,102.87,15.22
2024/3/8 00:00,4957.8,102.71,14.74
2024/3/7 00:00,5165.8,102.82,14.44
2024/3/6 00:00,4997.9,103.37,14.5
2024/3/5 00:00,4879.8,103.8,14.46
2024/3/4 00:00,4982,103.83,13.49
2024/3/1 00:00,4929.6,103.86,13.11
2024/2/29 00:00,4726.9,104.16,13.4
2024/2/28 00:00,4602.6,103.97,13.84
2024/2/27 00:00,4654.9,103.83,13.43
2024/2/26 00:00,4663.5,103.83,13.74
2024/2/23 00:00,4615,103.94,13.75
2024/2/22 00:00,4667.4,103.96,14.54
2024/2/21 00:00,4446.4,104.01,15.34
2024/2/20 00:00,4456.9,104.08,15.42
2024/2/16 00:00,4527.7,104.3,14.24
2024/2/15 00:00,4558.1,104.3,14.01
2024/2/14 00:00,4565.4,104.72,14.38
2024/2/13 00:00,4468.2,104.96,15.85
2024/2/12 00:00,4560,104.17,13.93
2024/2/9 00:00,4567.3,104.11,12.93
2024/2/8 00:00,4478,104.17,12.79
2024/2/7 00:00,4408.7,104.06,12.83
2024/2/6 00:00,4338.3,104.21,13.06
2024/2/5 00:00,4388.1,104.45,13.67
2024/2/2 00:00,4336.7,103.92,13.85
2024/2/1 00:00,4280.5,103.05,13.88
2024/1/31 00:00,4260.9,103.27,14.35
2024/1/30 00:00,4320,103.4,13.31
2024/1/29 00:00,4388.3,103.61,13.6
2024/1/26 00:00,4342.1,103.43,13.26
2024/1/25 00:00,4472.3,103.57,13.45
2024/1/24 00:00,4483.3,103.24,13.14
2024/1/23 00:00,4415.3,103.62,12.55
2024/1/22 00:00,4386.6,103.33,13.19
2024/1/19 00:00,4375.7,103.29,13.3
2024/1/18 00:00,4206.5,103.54,14.13
2024/1/17 00:00,4069.9,103.45,14.79
2024/1/16 00:00,4105.9,103.36,13.84
2024/1/12 00:00,4052.4,102.4,12.7
2024/1/11 00:00,4067.9,102.29,12.44
2024/1/10 00:00,4048.8,102.36,12.69
2024/1/9 00:00,4064.7,102.57,12.76
2024/1/8 00:00,4062.5,102.21,13.08
2024/1/5 00:00,3933.5,102.41,13.35
2024/1/4 00:00,3908.9,102.42,14.13
2024/1/3 00:00,3941.2,102.49,14.04
2024/1/2 00:00,4023,102.2,13.2
2023/12/29 00:00,4175.5,101.33,12.45
2023/12/28 00:00,4208.7,101.23,12.47
2023/12/27 00:00,4214.6,100.99,12.43
2023/12/26 00:00,4207.5,101.47,12.99
2023/12/22 00:00,4132.9,101.7,13.03
2023/12/21 00:00,4118.6,101.84,13.65
2023/12/20 00:00,4007.7,102.41,13.67
2023/12/19 00:00,4125.6,102.17,12.53
2023/12/18 00:00,4103.8,102.56,12.56
2023/12/15 00:00,4117,102.55,12.28
2023/12/14 00:00,4097.5,101.96,12.48
2023/12/13 00:00,3991,102.87,12.19
2023/12/12 00:00,3930.2,103.86,12.07
2023/12/11 00:00,3902.4,104.1,12.63
2023/12/8 00:00,3774.2,104.01,12.35
2023/12/7 00:00,3747.5,103.54,13.06
2023/12/6 00:00,3645.8,104.15,12.97
2023/12/5 00:00,3672.4,104.05,12.85
2023/12/4 00:00,3693.4,103.71,13.08
2023/12/1 00:00,3738.3,103.27,12.63
2023/11/30 00:00,3724.6,103.5,12.92
2023/11/29 00:00,3753.4,102.76,12.98
2023/11/28 00:00,3718.3,102.75,12.69
2023/11/27 00:00,3739.3,103.2,12.69
2023/11/24 00:00,3747.9,103.4,12.46
2023/11/22 00:00,3745,103.92,12.85
2023/11/21 00:00,3732.8,103.57,13.35
2023/11/20 00:00,3805.8,103.44,13.41
2023/11/17 00:00,3748.6,103.92,13.8
2023/11/16 00:00,3724.1,104.35,14.32
2023/11/15 00:00,3712.1,104.39,14.18
2023/11/14 00:00,3685.6,104.05,14.16
2023/11/13 00:00,3556.7,105.63,14.76
2023/11/10 00:00,3591.7,105.86,14.17
2023/11/9 00:00,3452.3,105.91,15.29
2023/11/8 00:00,3472.7,105.59,14.45
2023/11/7 00:00,3471.5,105.54,14.81
2023/11/6 00:00,3444.9,105.21,14.89
2023/11/3 00:00,3454.6,105.02,14.91
2023/11/2 00:00,3368.5,106.12,15.66
2023/11/1 00:00,3290.9,106.88,16.87
2023/10/31 00:00,3215.9,106.66,18.14
2023/10/30 00:00,3185.2,106.12,19.75
2023/10/27 00:00,3227.1,106.56,21.27
2023/10/26 00:00,3188.4,106.6,20.68
2023/10/25 00:00,3205.8,106.53,20.19
2023/10/24 00:00,3343.9,106.27,18.97
2023/10/23 00:00,3298.5,105.54,20.37
2023/10/20 00:00,3316.1,106.16,21.71
2023/10/19 00:00,3367.8,106.25,21.4
2023/10/18 00:00,3413.4,106.57,19.22
2023/10/17 00:00,3474.7,106.25,17.88
2023/10/16 00:00,3502.5,106.24,17.21
2023/10/13 00:00,3453,106.65,19.32
