Date,NASDAQ,Dow_Jones,S&P_500
2024-06-28,17815.13,39014.09,5470.41
2024-06-27,17857.88,39164.06,5482.87
2024-06-26,17802.66,39127.8,5477.9
2024-06-25,17720.05,39112.16,5469.3
2024-06-24,17500.6,39411.21,5447.87
2024-06-21,17693.38,39150.33,5464.62
2024-06-20,17717.9,39134.76,5473.17
2024-06-18,17862.23,38834.86,5487.03
2024-06-17,17857.02,38778.1,5473.23
2024-06-14,17688.88,38589.16,5431.6
2024-06-13,17667.56,38647.1,5433.74
2024-06-12,17608.44,38712.21,5421.03
2024-06-11,17343.55,38747.42,5375.32
2024-06-10,17192.53,38868.04,5360.79
2024-06-07,17133.13,38798.99,5346.99
2024-06-06,17173.12,38886.17,5352.96
2024-06-05,17187.9,38807.33,5354.03
2024-06-04,16857.05,38711.29,5291.34
2024-06-03,16828.67,38571.03,5283.4
2024-05-31,16735.02,38686.32,5277.51
2024-05-30,16737.08,38111.48,5235.48
2024-05-29,16920.58,38441.54,5266.95
2024-05-28,17019.88,38852.86,5306.04
2024-05-24,16920.79,39069.59,5304.72
2024-05-23,16736.03,39065.26,5267.84
2024-05-22,16801.54,39671.04,5307.01
2024-05-21,16832.62,39872.99,5321.41
2024-05-20,16794.87,39806.77,5308.13
2024-05-17,16685.97,40003.59,5303.27
2024-05-16,16698.32,39869.38,5297.1
2024-05-15,16742.39,39908.0,5308.15
2024-05-14,16511.18,39558.11,5246.68
2024-05-13,16388.24,39431.51,5221.42
2024-05-10,16340.87,39512.84,5222.68
2024-05-09,16346.26,39387.76,5214.08
2024-05-08,16302.76,39056.39,5187.67
2024-05-07,16332.55,38884.26,5187.7
2024-05-06,16349.25,38852.27,5180.74
2024-05-03,16156.33,38675.68,5127.79
2024-05-02,15840.96,38225.86,5064.2
2024-05-01,15605.48,37902.57,5018.39
2024-04-30,15657.82,37815.85,5035.69
2024-04-29,15983.08,38386.09,5116.17
2024-04-26,15927.9,38239.66,5099.96
2024-04-25,15611.76,38085.8,5048.42
2024-04-24,15712.75,38460.92,5071.63
2024-04-23,15696.64,38503.69,5070.55
2024-04-22,15451.3,38240.57,5010.6
2024-04-19,15282.01,37986.53,4967.23
