Date,Open,High,Low,Close,Adj Close,Volume
2000-03-13,66.000000,75.000000,66.000000,70.000000,57.798779,14147200
2000-03-14,72.625000,78.687500,72.000000,76.812500,63.423832,4790500
2000-03-15,69.500000,73.500000,68.312500,71.000000,58.624485,3333800
2000-03-16,70.250000,71.062500,68.437500,70.625000,58.314846,2553200
2000-03-17,68.875000,70.875000,68.875000,69.312500,57.231117,947300
2000-03-20,71.875000,72.250000,70.062500,70.500000,58.211628,1374200
2000-03-21,69.750000,69.875000,67.625000,69.875000,57.695564,1133400
2000-03-22,63.500000,66.625000,63.500000,66.500000,54.908840,1078200
2000-03-23,63.500000,63.500000,59.500000,62.000000,51.193207,917200
2000-03-24,62.750000,65.437500,60.125000,60.562500,50.006260,656000
2000-03-27,61.875000,62.187500,60.062500,61.125000,50.470722,354100
2000-03-28,61.062500,63.812500,61.062500,63.062500,52.070511,481800
2000-03-29,61.500000,61.500000,55.000000,56.000000,46.239021,573700
2000-03-30,55.812500,57.312500,52.500000,53.125000,43.865147,531300
2000-03-31,55.750000,58.750000,51.000000,57.500000,47.477562,582900
2000-04-03,55.562500,56.312500,52.468750,53.125000,43.865147,430900
2000-04-04,54.750000,54.750000,49.062500,53.625000,44.277992,760900
2000-04-05,48.750000,53.000000,48.500000,52.062500,42.987843,1235200
2000-04-06,57.250000,59.250000,55.750000,56.375000,46.548656,560400
2000-04-07,57.500000,59.000000,56.250000,59.000000,48.716114,662900
2000-04-10,59.750000,61.750000,59.187500,59.187500,48.870922,565500
2000-04-11,57.500000,64.000000,57.375000,62.000000,51.193207,1002100
2000-04-12,62.312500,62.875000,60.000000,60.125000,49.645023,664700
2000-04-13,59.437500,63.625000,58.500000,60.750000,50.161087,691200
2000-04-14,58.437500,58.562500,54.562500,56.062500,46.290630,953400
2000-04-17,56.500000,59.875000,56.500000,59.812500,49.386993,1019900
2000-04-18,61.750000,63.500000,60.750000,61.734375,50.973881,373600
2000-04-19,63.375000,64.125000,62.250000,62.312500,51.451237,192300
2000-04-20,63.500000,64.437500,61.500000,62.125000,51.296417,198900
2000-04-24,61.000000,62.250000,60.250000,62.125000,51.296417,438700
2000-04-25,61.875000,65.750000,61.750000,65.562500,54.134750,262100
2000-04-26,67.250000,68.500000,66.750000,67.875000,56.044170,395300
2000-04-27,62.750000,68.000000,62.750000,67.250000,55.528111,862200
2000-04-28,70.000000,71.250000,67.875000,67.875000,56.044170,454600
2000-05-01,68.750000,69.937500,68.750000,69.750000,57.592342,159800
2000-05-02,69.750000,69.875000,68.500000,69.125000,57.076290,283200
2000-05-03,68.000000,68.000000,65.312500,66.062500,54.547588,257700
2000-05-04,65.750000,65.750000,64.000000,65.000000,53.670288,110400
2000-05-05,64.500000,66.625000,64.500000,66.250000,54.702415,113300
2000-05-08,64.625000,66.000000,64.562500,65.000000,53.670288,82000
2000-05-09,69.000000,69.375000,64.937500,66.812500,55.166866,441700
2000-05-10,65.187500,65.187500,61.750000,62.000000,51.193207,322300
2000-05-11,63.437500,64.125000,63.000000,63.625000,52.534958,200400
2000-05-12,68.000000,69.000000,67.875000,68.312500,56.405415,269200
2000-05-15,68.750000,69.812500,68.000000,69.750000,57.592342,83700
2000-05-16,69.750000,70.125000,69.437500,69.875000,57.695564,146200
2000-05-17,67.250000,68.000000,66.562500,67.562500,55.786144,75000
2000-05-18,66.750000,66.937500,66.312500,66.375000,54.805630,485600
2000-05-19,63.375000,63.687500,61.812500,63.250000,52.225327,154600
2000-05-22,62.000000,62.000000,59.687500,61.500000,50.780354,202000
2000-05-23,61.937500,62.500000,60.687500,60.687500,50.109478,147100
2000-05-24,58.375000,59.250000,56.000000,59.250000,48.922543,390100
2000-05-25,59.250000,60.500000,57.875000,58.000000,47.890419,169200
2000-05-26,61.000000,62.125000,60.500000,61.562500,50.831955,115900
2000-05-30,64.062500,64.812500,62.500000,64.375000,53.154236,187100
2000-05-31,65.000000,65.250000,62.875000,62.875000,51.915688,277200
2000-06-01,64.750000,66.000000,64.500000,65.875000,54.392776,334600
2000-06-02,71.250000,72.000000,70.750000,71.500000,59.037323,268800
2000-06-05,71.375000,73.312500,71.250000,72.125000,59.553375,175700
2000-06-06,72.625000,73.187500,71.625000,71.625000,59.140530,145100
2000-06-07,76.062500,78.375000,75.812500,78.250000,64.610756,508800
2000-06-08,80.250000,81.250000,79.750000,80.000000,66.055748,282600
2000-06-09,79.250000,80.750000,79.187500,80.125000,66.158966,277600
2000-06-12,80.750000,81.375000,79.000000,79.250000,65.436485,118200
2000-06-13,79.375000,79.750000,78.250000,79.500000,65.642899,161700
2000-06-14,79.875000,80.250000,78.250000,78.937500,65.178452,174200
2000-06-15,76.000000,76.250000,75.375000,75.625000,62.443325,517500
2000-06-16,75.375000,79.187500,74.125000,78.125000,64.507568,784000
2000-06-19,78.312500,81.687500,78.125000,80.750000,66.675018,387400
2000-06-20,84.125000,85.500000,81.625000,82.375000,68.016785,381800
2000-06-21,81.125000,84.250000,80.937500,83.750000,69.152100,259500
2000-06-22,83.750000,84.500000,83.375000,84.250000,69.564957,497000
2000-06-23,84.375000,84.875000,83.750000,84.000000,69.358528,383300
2000-06-26,82.875000,83.375000,81.812500,83.062500,68.584457,500700
2000-06-27,81.375000,88.250000,81.375000,87.312500,72.093658,857200
2000-06-28,82.250000,83.437500,81.812500,82.250000,67.913574,267500
2000-06-29,80.625000,80.625000,79.250000,79.687500,65.797729,198000
2000-06-30,79.500000,80.562500,77.875000,79.250000,65.436485,158100
2000-07-03,79.000000,79.000000,73.375000,74.250000,61.307980,174100
2000-07-05,72.375000,73.125000,71.687500,72.000000,59.450161,219100
2000-07-06,72.062500,74.375000,71.937500,74.125000,61.204777,157600
2000-07-07,73.375000,74.437500,72.625000,74.187500,61.256386,166200
2000-07-10,73.312500,75.000000,72.750000,74.250000,61.307980,276600
2000-07-11,73.937500,74.250000,72.875000,73.937500,61.049953,211500
2000-07-12,75.875000,76.000000,73.750000,75.500000,62.340111,288900
2000-07-13,75.125000,76.250000,74.625000,76.125000,62.856163,109400
2000-07-14,78.812500,80.687500,78.687500,79.500000,65.642899,620900
2000-07-17,82.000000,82.937500,81.687500,82.750000,68.326416,188800
2000-07-18,80.000000,80.000000,78.000000,78.750000,65.023621,74500
2000-07-19,77.250000,77.625000,76.437500,76.437500,63.114204,81400
2000-07-20,78.125000,79.062500,78.000000,78.375000,64.714005,125000
2000-07-21,78.250000,78.562500,76.687500,76.750000,63.372238,38300
2000-07-24,76.812500,77.375000,76.125000,76.125000,62.856163,101500
2000-07-25,76.750000,77.000000,75.500000,75.875000,62.649754,135300
2000-07-26,75.000000,75.000000,71.625000,72.750000,60.069447,259900
2000-07-27,72.125000,72.125000,69.000000,69.000000,56.973076,178700
2000-07-28,68.375000,68.875000,65.875000,67.062500,55.373299,234200
2000-07-31,67.750000,68.250000,66.625000,68.000000,56.147388,199500
2000-08-01,67.625000,67.875000,66.375000,66.875000,55.218475,132100
2000-08-02,65.250000,65.250000,64.250000,64.562500,53.309052,186200
2000-08-03,60.375000,62.875000,60.375000,62.812500,51.864082,356200
2000-08-04,62.000000,62.062500,59.000000,59.875000,49.438595,185700
2000-08-07,60.375000,61.000000,59.375000,60.500000,49.954659,168000
2000-08-08,60.500000,61.250000,60.312500,61.000000,50.367504,92900
2000-08-09,64.875000,65.875000,64.750000,65.687500,54.237957,68000
2000-08-10,65.437500,65.562500,64.375000,64.500000,53.257446,43300
2000-08-11,63.375000,64.500000,62.625000,63.875000,52.741383,63800
2000-08-14,63.250000,66.062500,62.937500,65.750000,54.289566,103000
2000-08-15,67.625000,68.000000,67.250000,67.625000,55.837753,108000
2000-08-16,68.000000,68.500000,67.125000,67.500000,55.734539,112300
2000-08-17,67.875000,69.250000,67.750000,69.000000,56.973076,68600
2000-08-18,69.375000,69.437500,68.000000,68.000000,56.147388,87200
2000-08-21,68.125000,68.125000,66.125000,66.687500,55.063652,74800
2000-08-22,67.375000,68.062500,67.125000,67.312500,55.579720,48400
2000-08-23,65.125000,67.625000,64.000000,67.000000,55.321682,389100
2000-08-24,68.875000,69.750000,68.687500,69.375000,57.282711,167900
2000-08-25,69.312500,69.750000,68.875000,68.875000,56.869877,135200
2000-08-28,69.875000,70.000000,68.937500,69.125000,57.076290,73600
2000-08-29,69.000000,69.000000,68.000000,68.000000,56.147388,36900
2000-08-30,67.125000,67.375000,66.562500,66.937500,55.270077,142700
2000-08-31,66.250000,66.625000,65.250000,65.937500,54.444389,232300
2000-09-01,66.875000,67.437500,66.875000,66.875000,55.218475,94100
2000-09-05,65.625000,66.062500,65.125000,66.000000,54.495991,85700
2000-09-06,62.875000,62.875000,60.562500,60.625000,50.057865,154900
2000-09-07,61.000000,62.187500,60.375000,62.000000,51.193207,287000
2000-09-08,61.875000,61.875000,58.937500,59.000000,48.716114,159700
2000-09-11,58.000000,59.375000,57.812500,58.062500,47.942020,238300
2000-09-12,58.000000,58.125000,57.250000,57.250000,47.271145,138900
2000-09-13,55.250000,56.250000,55.125000,55.375000,45.722958,134000
2000-09-14,55.437500,55.875000,54.000000,54.375000,44.897270,335300
2000-09-15,54.875000,54.937500,51.312500,51.562500,42.574997,131600
2000-09-18,51.875000,52.375000,50.687500,50.875000,42.007320,425000
2000-09-19,51.875000,53.625000,51.500000,53.125000,43.865147,369400
2000-09-20,53.375000,53.437500,51.125000,51.937500,42.884624,110900
2000-09-21,50.000000,50.312500,49.312500,49.812500,41.130024,449900
2000-09-22,47.000000,49.062500,47.000000,48.937500,40.407543,712500
2000-09-25,49.875000,49.875000,47.437500,47.437500,39.168999,357800
2000-09-26,47.437500,48.375000,47.250000,47.875000,39.530239,411700
2000-09-27,48.312500,50.000000,47.875000,48.937500,40.407543,268800
2000-09-28,49.375000,49.812500,47.812500,48.875000,40.355934,154700
2000-09-29,48.875000,49.562500,47.312500,47.500000,39.220604,77700
2000-10-02,48.750000,49.562500,48.500000,48.500000,40.046295,78600
2000-10-03,48.875000,49.437500,47.750000,47.750000,39.427029,100200
2000-10-04,47.250000,49.000000,46.687500,48.750000,40.252720,95900
2000-10-05,50.062500,50.062500,48.375000,48.375000,39.943081,421200
2000-10-06,47.125000,47.312500,44.937500,45.625000,37.672417,112000
2000-10-09,45.437500,46.437500,43.625000,45.375000,37.466000,57600
2000-10-10,45.750000,45.750000,43.000000,43.500000,35.917816,157400
2000-10-11,40.375000,42.625000,40.250000,41.750000,34.472843,100200
2000-10-12,42.875000,43.250000,40.812500,40.875000,33.750362,58800
2000-10-13,42.625000,44.750000,42.562500,44.625000,36.846718,80500
2000-10-16,44.625000,44.625000,41.500000,41.750000,34.472843,199500
2000-10-17,41.125000,41.125000,38.875000,39.250000,32.408600,131000
2000-10-18,37.000000,39.375000,36.000000,38.750000,31.995750,157100
2000-10-19,41.750000,42.500000,41.625000,42.500000,35.092113,442400
2000-10-20,40.375000,41.375000,40.250000,41.312500,34.111607,88300
2000-10-23,39.625000,41.000000,39.625000,41.000000,33.853573,35700
2000-10-24,42.375000,43.125000,42.312500,42.625000,35.195332,256500
2000-10-25,39.750000,41.062500,39.437500,39.750000,32.821449,40000
2000-10-26,40.625000,40.750000,39.500000,40.500000,33.440723,46600
