Date,SSNLF,LPL,SONY,TSM,ASML,STM,SAP,YNDX,NTDOY,PCRFF,JD,TSHTY,IFNNY
2024-07-11,
2024-07-10,
2024-07-09,
2024-07-08,
2024-07-05,
2024-07-04,
2024-07-03,
2024-07-02,
2024-07-01,
2024-06-28,
2024-06-27,
2024-06-26,
2024-06-25,
2024-06-24,
2024-06-21,40.599899,3.81,80.529999,173.960007,1036.599976,40.790001,194.160004,18.940001,13.26,8.22,28.1,10.0,36.330002
2024-06-20,40.599899,3.81,80.830002,175.380005,1050.73999,40.68,191.470001,18.940001,13.3,8.13,28.68,10.0,37.189999
2024-06-18,40.599899,3.51,79.629997,179.690002,1061.380005,43.080002,188.619995,18.940001,13.79,8.07,29.049999,10.0,38.779999
2024-06-17,40.599899,3.63,81.120003,177.240005,1052.469971,43.099998,190.020004,18.940001,13.37,8.09,29.24,10.0,39.18
2024-06-14,40.599899,3.47,82.220001,172.509995,1027.900024,42.459999,187.820007,18.940001,13.39,8.21,28.77,10.0,39.099998
2024-06-13,40.599899,3.48,84.099998,172.910004,1052.709961,44.25,192.419998,18.940001,13.24,8.21,29.4,10.0,40.700001
2024-06-12,40.599899,3.68,83.959999,172.979996,1068.859985,45.240002,197.199997,18.940001,13.65,8.48,29.559999,9.55,41.509998
2024-06-11,40.599899,3.55,85.0,165.710007,1036.01001,43.82,188.740005,18.940001,13.72,8.45,29.41,9.55,40.389999
2024-06-10,40.599899,3.56,85.639999,168.160004,1041.709961,44.34,190.240005,18.940001,13.95,8.73,29.59,10.44,40.59
2024-06-07,40.599899,3.54,85.449997,164.389999,1028.420044,44.490002,191.100006,18.940001,13.9,8.54,29.33,10.44,40.959999
2024-06-06,40.599899,3.67,87.230003,162.070007,1052.609985,45.060001,193.039993,18.940001,14.09,8.61,29.77,10.44,40.02
2024-06-05,40.599899,3.6,86.639999,162.919998,1041.339966,44.369999,188.75,18.940001,14.09,8.64,30.59,10.44,40.84
2024-06-04,40.599899,3.53,86.029999,152.470001,950.809998,42.939999,184.220001,18.940001,14.2,8.7,30.07,10.44,40.099998
2024-06-03,40.599899,3.69,83.599998,154.949997,965.47998,41.970001,184.240005,18.940001,13.73,8.74,29.9,10.44,40.110001
2024-05-31,40.599899,3.51,82.339996,151.039993,960.349976,41.970001,182.440002,18.940001,13.58,8.62,29.620001,10.44,40.25
2024-05-30,40.599899,3.63,80.790001,152.960007,966.119995,40.950001,180.25,18.940001,13.29,8.68,30.209999,10.44,40.09
