stockID,clusterID,hurst exponent
AAMC,3,0.5569120733263105
AAME,3,0.5857947557938017
AB,1,0.43837187590498355
ABCB,2,0.4567631874674746
AC,3,0.5744463771853232
ACNB,3,0.6469820119558607
ACP,1,0.33958838053067203
ACT,2,0.5329020380355617
ACV,2,0.5408574494507412
ADX,4,0.701538736134449
AEF,2,0.486807708027003
AFB,1,0.3941125959709861
AFBI,3,0.5595774638187676
AFG,2,0.5473198077136813
AFGB,2,0.5398262162075668
AFGC,2,0.48984931198261766
AFGD,1,0.4475929383500783
AFGE,2,0.5335313629190627
AFL,1,0.4373679165549562
AGD,1,0.3919957233216857
AGM,0,0.2750062454364661
AIB,1,0.35268123778851507
AIG,3,0.5867271556654433
AIMAU,1,0.3424036971216301
AINC,2,0.46873989088096435
AIZ,2,0.5151623698550449
AIZN,3,0.6091705174373071
AJG,2,0.5343661213235749
ALL,3,0.6139961192702926
ALLY,2,0.510505449093658
ALRS,2,0.5274692668059615
ALSA,4,0.867244229502878
ALTI,3,0.633257728710799
AMAL,3,0.5638776968855482
AMBC,1,0.4192078842475069
AMG,2,0.5305517310092002
AMK,3,0.6908122862459574
AMP,3,0.5863883848381636
AMRK,3,0.5766091589373945
AMSF,1,0.42955911221453474
AMTB,2,0.4513694509572865
AOD,1,0.4283565609296092
AON,2,0.535400390599973
APAM,0,0.22907326146325047
APLD,3,0.6662522744666719
APXI,4,0.9063952171670616
APXIU,3,0.602051334452175
ARCC,2,0.5111696871259411
ARDC,2,0.5147214139170891
AROW,3,0.6248426559267836
ASB,1,0.3041899069532448
ASBA,1,0.3645306617267443
ASG,1,0.41339634115923596
ASRV,2,0.4827187769740152
ATLC,3,0.6297927508969919
ATLCL,1,0.3899903038456039
ATLCP,2,0.4832054981107158
ATLO,1,0.44169144760596485
AUB,1,0.44969380738554804
AUBN,3,0.5765396784459714
AVK,1,0.4064445219985403
AWF,2,0.50480807811351
AWP,1,0.3578156614696421
AX,1,0.40901999481512263
AXP,3,0.6866761429117209
BAC,3,0.5848860338245265
BAFN,1,0.36532102241959563
BANC,1,0.32894646519861137
BANF,2,0.46195181316974676
BANFP,0,0.2791990890477655
BANR,3,0.5620902005825579
BANX,1,0.30025510770169495
BBAR,4,0.7012756451212866
BBD,3,0.6140273218740268
BBDC,2,0.5371950275015824
BBDO,3,0.6146949835567339
BBN,2,0.5397971781737508
BCAT,3,0.5671049474630894
BCBP,2,0.5405870262262091
BCML,2,0.5439784068616408
BCOW,2,0.4669505467734098
BCSF,2,0.4931741581830365
BCV,1,0.44508599433249785
BCX,2,0.5334465232228065
BDJ,1,0.41918643723624455
BEN,3,0.5994794636642019
BFC,1,0.3082870163046835
BFH,2,0.5159777908347111
BFIN,1,0.4016144959042042
BFK,1,0.3915116606774382
BFST,2,0.5395972572969038
BFZ,0,0.29505889004519475
BGH,2,0.5382630198291466
BGR,3,0.5712086296016631
BGT,3,0.5829634923340068
BGY,1,0.4439131525603868
BHB,3,0.5841181332972345
BHF,1,0.3298287898896151
BHFAL,2,0.45838628602784776
BHFAM,1,0.3818936703880257
BHFAN,1,0.4388430247250948
BHFAO,2,0.4723714788221085
BHFAP,2,0.48005883111472747
BHK,1,0.36947568386237184
BHLB,2,0.4764861429757357
BHV,1,0.3070977773574704
BK,3,0.5984410781879375
BKN,1,0.4136513957715289
BKSC,3,0.605447754424388
BKT,3,0.5768667150129625
BKU,2,0.5196018555493934
BLACU,1,0.4048324688573077
BLE,0,0.2857085822923627
BLEU,1,0.30779157159713605
BLFY,2,0.5105187589873
BLK,1,0.368160881624252
BLW,1,0.425641957198357
BMA,4,0.7330329007026235
BME,2,0.4952398962598283
BMRC,4,0.7602464272620518
BNY,1,0.3237435928446362
BOCN,4,0.7343475274373603
BOCNU,3,0.6413533095375533
BOE,1,0.43841231311170803
BOH,3,0.6289487355745341
BOKF,1,0.4036104322532308
BOTJ,3,0.6927321816283684
BPOP,1,0.4003720940245177
BPOPM,1,0.4131409639002093
BPRN,4,0.7083959288902935
BRKL,3,0.5769308285817261
BRO,4,0.7221471293390658
BRW,3,0.5621305706406968
BSBR,3,0.6100230423179024
BSL,3,0.6346383375686652
BSRR,1,0.444600779602635
BST,2,0.4791117258208079
BSVN,3,0.5726749445589604
BTA,1,0.43297574334411715
BTBT,3,0.5842988023864139
BTCS,0,0.28748447739264893
BTO,2,0.47125787518253837
BTT,2,0.47867891876345614
BTZ,2,0.5420455816744164
BUI,3,0.5930925157243968
BUSE,1,0.36619892312760527
BWAQ,2,0.5121613546778059
BWB,2,0.45635959690078975
BWBBP,2,0.45483468564194657
BWFG,3,0.6436495869667522
BWG,1,0.40312200197283055
BX,0,0.2917341572784993
BXMX,1,0.4474371395188296
BY,2,0.45382441548619684
BYFC,4,0.7149747707596357
BYM,0,0.2929130297120361
C,3,0.570437192199889
CAC,3,0.578443731972047
CACC,2,0.5490577674648294
CADE,1,0.3348486560694327
CAF,1,0.3551562740112551
CALB,2,0.5419843088496868
CARE,3,0.5669944475872553
CARV,2,0.5043988749665678
CASH,1,0.37175079418852686
CATC,1,0.3967037442128411
CATY,2,0.5385592400468485
CBAN,2,0.5487713928288268
CBFV,4,0.70603637189216
CBH,2,0.4909596957624555
CBNK,3,0.5872221059094421
CBRE,1,0.35846310561099304
CBRG,2,0.46027054641731846
CBRGU,1,0.42227722968637504
CBSH,1,0.38855017465739533
CBU,2,0.47689841370445896
CCB,2,0.4937967533502179
CCBG,1,0.4498226908791903
CCD,3,0.5613219339302676
CCNE,2,0.5328014793651551
CCTS,1,0.42885425101462415
CCTSU,2,0.47548305551045733
CDAQ,1,0.4425848417574114
CDAQU,3,0.565857877573977
CEE,2,0.467004354016244
CEM,3,0.6529739222446993
CET,4,0.737652218517888
CEV,1,0.31633462263740597
CFB,2,0.5122575660975381
CFBK,3,0.5846050473842922
CFFI,4,0.7501086456103637
CFFN,3,0.6335304303118117
CFG,1,0.42538079556836056
CFR,1,0.40990290950959346
CFSB,2,0.5373669495733903
CG,1,0.4472503149339195
CGBD,3,0.6996615513881628
CGO,3,0.6390811318587629
CHCO,2,0.49713715282128534
CHI,3,0.5805397203413901
CHMG,3,0.6796715322876942
CHN,2,0.5471933841493963
CHW,3,0.6546273994097277
CHY,2,0.4568404280173923
CIA,2,0.5000141012297427
CIF,1,0.4002205655146715
CIFR,1,0.36695762790273434
CII,2,0.4533196901967875
CIK,1,0.39970532295967953
CINF,2,0.5416549231222667
CITE,2,0.4650104967144985
CIVB,3,0.5987819370363975
CIZN,1,0.3614608834276209
CLBK,3,0.5981267131912874
CLM,2,0.47523656787197155
CMA,1,0.3417328654275668
CMCA,2,0.4581138905805169
CMCAU,3,0.6023782844338058
CME,2,0.4667180224747335
CMU,1,0.40766964558630786
CNA,1,0.3645521510763367
CNFR,1,0.44563458203039313
CNO,1,0.42590479406820037
CNOB,2,0.5354011924738934
CNOBP,2,0.4536810752670029
CNS,0,0.25334350871722355
COF,2,0.526167162092346
COFS,3,0.5585965427989683
COHN,3,0.5760560807840972
COIN,3,0.5715458485872017
COLB,3,0.568921736830298
COOL,1,0.42609161215265157
COOLU,2,0.49185122640222423
COOLW,1,0.4391065294550342
COOP,4,0.7303238188834931
CPF,1,0.4353454331838667
CPSS,1,0.37652907816907233
CPZ,2,0.5342915828260605
CRESY,2,0.4902117529154376
CRF,1,0.4266223538608947
CRVL,1,0.31899219699089343
CSGP,1,0.4167149628520415
CSLM,4,0.7438867465130312
CSQ,3,0.6053701309043585
CSWC,2,0.48531028832705614
CTBI,1,0.38474976810832534
CTR,3,0.6320962226125955
CUBA,2,0.5215922537912484
CUBB,3,0.5521882840102447
CUBI,2,0.5283431800000921
CULL,3,0.6869662112527382
CVBF,2,0.5257607856631025
CVLY,2,0.5298344495187225
CWBC,3,0.6203373814042691
CXE,0,0.2751691438156744
CXH,1,0.4298750213744102
CZFS,3,0.6607517607877146
CZNC,3,0.5589319233054378
CZWI,2,0.4866767976946894
DCOM,3,0.6928304333753834
DCOMP,1,0.4066683754449672
DECA,2,0.5046005056321722
