stockID,clusterID,hurst exponent
AAOI,2,0.507319643625252
AAPL,2,0.48255482923049686
ACCD,3,0.6188634332910444
ACIW,3,0.565426722569515
ACLS,2,0.5107663611376428
ACMR,2,0.4607908699866545
ACON,4,0.7692422590219923
ADBE,3,0.5530230331249762
ADEA,2,0.49583592068124005
ADI,2,0.46972421234483225
ADSK,2,0.5438254221526121
AEYE,4,0.779901394115145
AFRM,2,0.5312381929648987
AGYS,1,0.4411977191838514
AIP,2,0.5360870481144779
AIRG,3,0.6116716262516231
AKLI,1,0.34175787717973616
ALGM,1,0.3029423760991062
ALKT,2,0.4612965091179302
ALOT,1,0.3942554528199696
ALRM,2,0.5005238593826624
ALTR,2,0.45801086066742036
AMAT,3,0.66204771900745
AMBA,3,0.5502593588135113
AMD,3,0.5848524410572055
AMKR,1,0.3813351958179412
AMPG,3,0.5937242659357621
AMPGW,1,0.31390142735228177
AMPL,3,0.6141424683425512
AMST,1,0.4246032806544468
AMSWA,2,0.45351772297283194
AMWL,4,0.7236205289725521
ANGI,2,0.48352743582391805
ANSS,1,0.3459758508218825
APCX,2,0.5132617002141122
APH,4,0.8350546849345569
APP,4,0.7262840685311077
APPF,2,0.4567694371988298
APPN,1,0.340006803349505
APPS,4,0.7797148643701575
ARLO,2,0.457390095147161
ARRY,1,0.43311025477018433
ARW,2,0.47845261323123045
ASGN,1,0.3624575559272266
ASTI,4,0.8279791239697876
ASUR,2,0.4910465874669444
ASYS,3,0.586055699835827
ATKR,2,0.520030163733617
ATOM,3,0.6118732426645783
AUGX,4,0.7845298151660834
AUID,1,0.4227042080543556
AUR,3,0.6032669506370174
AUUD,3,0.6511729952472765
AVDX,1,0.4149644690240652
AVGO,3,0.5616121793620437
AVPT,2,0.4872029494781174
AVT,3,0.5604037485922162
AWRE,1,0.4074899189462831
AXTI,2,0.45918510405166063
AZPN,1,0.3929553143092215
BAND,2,0.47132034938513834
BASE,2,0.5213226837089993
BCO,3,0.5997075390093893
BCOV,2,0.5485801156868725
BEAT,1,0.4468736841276589
BEEM,3,0.5500014339963595
BFRG,3,0.5745470372563247
BHE,3,0.6782020663939524
BIGC,3,0.6375620780533338
BKKT,3,0.6754386619370374
BKTI,2,0.48916857389461765
BKYI,3,0.6329518386988452
BL,2,0.4523797903090483
BLBX,1,0.3772958228024455
BLIN,3,0.5796182129352959
BLKB,2,0.4928185101028163
BLZE,1,0.4008389722243941
BMBL,3,0.5621660192077003
BOX,2,0.4685703104594128
BRC,2,0.4714696624215422
BRZE,3,0.6251494573172696
BSY,1,0.35860949811216336
BW,1,0.37788307287724393
CACI,4,0.8359270946982854
CALX,1,0.44529943843987585
CCCS,2,0.5196630625135975
CCRD,1,0.4089290095171492
CCSI,3,0.6084873429176584
CDNS,2,0.5061942159273436
CERT,1,0.4441138579466641
CETX,3,0.6851946804408375
CETXP,3,0.5691242826174107
CEVA,1,0.32204807017942405
CFLT,2,0.45804078668223047
CISO,2,0.5436065547228129
CIX,2,0.458261001274852
CLIR,2,0.5468411893943538
CLMB,2,0.5278690137920602
CLRO,1,0.4445267769217609
CLSK,2,0.4832415377054153
CMAX,1,0.42780017819478233
CMTL,4,0.7248099228450161
CNDT,1,0.41550232575241614
CNXC,3,0.640979510169509
CNXN,1,0.30324405594576387
COMM,3,0.6364811168176221
CPTN,2,0.46948896048626226
CRDO,2,0.451443728312698
CREX,2,0.5298234011126851
CRM,3,0.5508672941564596
CRNC,4,0.8660906715455137
CRSR,3,0.564988504947585
CRUS,3,0.6120456971568946
CRWD,2,0.5219898208095224
CSGS,2,0.4946186201009329
CSPI,3,0.5890411919703058
