Symbol,Name,Sector,Industry,clusterID
AAMC,Altisource Asset Management Corp Com,Finance,Investment Managers,-1
AAME,Atlantic American Corporation Common Stock,Finance,Life Insurance,4
AB,AllianceBernstein Holding L.P.  Units,Finance,Investment Managers,4
ABCB,Ameris Bancorp Common Stock,Finance,Major Banks,0
AC,Associated Capital Group Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,4
ACNB,ACNB Corporation Common Stock,Finance,Major Banks,2
ACP,abrdn Income Credit Strategies Fund Common Shares,Finance,Investment Managers,1
ACT,Enact Holdings Inc. Common Stock,Finance,Specialty Insurers,-1
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,Finance,Finance/Investors Services,1
ADX,Adams Diversified Equity Fund Inc.,Finance,Investment Managers,3
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,Finance,Finance/Investors Services,1
AFB,AllianceBernstein National Municipal Income Fund Inc,Finance,Trusts Except Educational Religious and Charitable,1
AFBI,Affinity Bancshares Inc. Common Stock (MD),Finance,Major Banks,2
AFG,American Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers,0
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,Finance,Property-Casualty Insurers,-1
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,Finance,Real Estate,-1
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,Finance,Property-Casualty Insurers,-1
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,Finance,Property-Casualty Insurers,-1
AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance,2
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,4
AGM,Federal Agricultural Mortgage Corporation Common Stock,Finance,Finance Companies,2
AIB,AIB Acquisition Corporation Class A Ordinary Shares,Finance,Blank Checks,-1
AIG,American International Group Inc. New Common Stock,Finance,Life Insurance,2
AIMAU,Aimfinity Investment Corp. I Unit,Finance,Blank Checks,-1
AINC,Ashford Inc. (Holding Company) Common Stock,Finance,Investment Managers,4
AIZ,Assurant Inc. Common Stock,Finance,Specialty Insurers,3
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,Finance,Accident &Health Insurance,-1
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers,2
ALL,Allstate Corporation (The) Common Stock,Finance,Property-Casualty Insurers,2
ALLY,Ally Financial Inc. Common Stock,Finance,Diversified Financial Services,3
ALRS,Alerus Financial Corporation Common Stock,Finance,Commercial Banks,4
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,Finance,Blank Checks,-1
ALTI,Alvarium Tiedemann Holdings Inc. Class A Common Stock,Finance,Investment Managers,-1
AMAL,Amalgamated Financial Corp. Common Stock (DE),Finance,Commercial Banks,2
AMBC,Ambac Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers,3
AMG,Affiliated Managers Group Inc. Common Stock,Finance,Investment Managers,3
AMK,AssetMark Financial Holdings Inc. Common Stock,Finance,Finance/Investors Services,2
AMP,Ameriprise Financial Inc. Common Stock,Finance,Investment Managers,2
AMRK,A-Mark Precious Metals Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,2
AMSF,AMERISAFE Inc. Common Stock,Finance,Accident &Health Insurance,1
AMTB,Amerant Bancorp Inc. Class A Common Stock,Finance,Major Banks,0
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,Finance,Investment Managers,1
AON,Aon plc Class A Ordinary Shares (Ireland),Finance,Specialty Insurers,2
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,Finance,Investment Managers,1
APLD,Applied Digital Corporation Common Stock,Finance,Investment Bankers/Brokers/Service,-1
APXI,APx Acquisition Corp. I Class A Ordinary Share,Finance,Blank Checks,-1
APXIU,APx Acquisition Corp. I Unit,Finance,Blank Checks,-1
ARCC,Ares Capital Corporation Common Stock,Finance,Finance/Investors Services,0
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,Finance,Investment Managers,3
AROW,Arrow Financial Corporation Common Stock,Finance,Major Banks,4
ASB,Associated Banc-Corp Common Stock,Finance,Major Banks,0
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,Finance,Major Banks,-1
ASG,Liberty All-Star Growth Fund Inc.,Finance,Finance Companies,1
ASRV,AmeriServ Financial Inc. Common Stock,Finance,Major Banks,4
ATLC,Atlanticus Holdings Corporation Common Stock,Finance,Finance: Consumer Services,3
ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,Finance,Finance: Consumer Services,-1
ATLCP,Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock no par value per share,Finance,Finance: Consumer Services,-1
ATLO,Ames National Corporation Common Stock,Finance,Major Banks,4
AUB,Atlantic Union Bankshares Corporation Common Stock,Finance,Major Banks,0
AUBN,Auburn National Bancorporation Inc. Common Stock,Finance,Major Banks,1
AVK,Advent Convertible and Income Fund,Finance,Trusts Except Educational Religious and Charitable,1
AWF,Alliancebernstein Global High Income Fund,Finance,Trusts Except Educational Religious and Charitable,1
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,1
AX,Axos Financial Inc. Common Stock,Finance,Savings Institutions,3
AXP,American Express Company Common Stock,Finance,Finance: Consumer Services,2
BAC,Bank of America Corporation Common Stock,Finance,Major Banks,3
BAFN,BayFirst Financial Corp. Common Stock,Finance,Savings Institutions,-1
BANC,Banc of California Inc. Common Stock,Finance,Major Banks,4
BANF,BancFirst Corporation Common Stock,Finance,Major Banks,2
BANFP,BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities,Finance,Major Banks,4
BANR,Banner Corporation Common Stock,Finance,Major Banks,0
BANX,ArrowMark Financial Corp. Common Stock,Finance,Trusts Except Educational Religious and Charitable,4
BBAR,Banco BBVA Argentina S.A. ADS,Finance,Commercial Banks,2
BBD,Banco Bradesco Sa American Depositary Shares,Finance,Commercial Banks,1
BBDC,Barings BDC Inc. Common Stock,Finance,Investment Managers,3
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),Finance,Commercial Banks,1
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,Finance,Finance Companies,1
BCAT,BlackRock Capital Allocation Trust Common Shares of Beneficial Interest,Finance,Finance/Investors Services,-1
BCBP,BCB Bancorp Inc. (NJ) Common Stock,Finance,Savings Institutions,0
BCML,BayCom Corp Common Stock,Finance,Major Banks,0
BCOW,1895 Bancorp of Wisconsin Inc. (MD) Common Stock,Finance,Finance: Consumer Services,4
BCSF,Bain Capital Specialty Finance Inc. Common Stock,Finance,Finance/Investors Services,3
BCV,Bancroft Fund Ltd.,Finance,Finance/Investors Services,1
BCX,BlackRock Resources Common Shares of Beneficial Interest,Finance,Finance/Investors Services,0
BDJ,Blackrock Enhanced Equity Dividend Trust,Finance,Finance Companies,4
BEN,Franklin Resources Inc. Common Stock,Finance,Investment Managers,3
BFC,Bank First Corporation Common Stock,Finance,Major Banks,2
BFH,Bread Financial Holdings Inc. Common Stock,Finance,Diversified Financial Services,1
BFIN,BankFinancial Corporation Common Stock,Finance,Major Banks,3
BFK,BlackRock Municipal Income Trust,Finance,Finance Companies,1
BFST,Business First Bancshares Inc. Common Stock,Finance,Major Banks,0
BFZ,BlackRock California Municipal Income Trust,Finance,Finance Companies,1
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,Finance,Investment Managers,1
BGR,BlackRock Energy and Resources Trust,Finance,Trusts Except Educational Religious and Charitable,2
BGT,BlackRock Floating Rate Income Trust,Finance,Trusts Except Educational Religious and Charitable,3
BGY,Blackrock Enhanced International Dividend Trust,Finance,Trusts Except Educational Religious and Charitable,1
BHB,Bar Harbor Bankshares Inc. Common Stock,Finance,Major Banks,0
BHF,Brighthouse Financial Inc. Common Stock,Finance,Life Insurance,0
BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058,Finance,Life Insurance,1
BHFAM,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th Interest in a Share of 4.625% Non-Cumulative Preferred Stock Series D,Finance,Life Insurance,-1
BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C,Finance,Life Insurance,-1
BHFAO,Brighthouse Financial Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock Series B,Finance,Life Insurance,-1
BHFAP,Brighthouse Financial Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock Series A,Finance,Life Insurance,1
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust,Finance,Finance Companies,1
BHLB,Berkshire Hills Bancorp Inc. Common Stock,Finance,Savings Institutions,0
BHV,BlackRock Virginia Municipal Bond Trust,Finance,Finance/Investors Services,1
BK,The Bank of New York Mellon Corporation Common Stock,Finance,Investment Managers,3
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),Finance,Finance Companies,1
BKSC,Bank of South Carolina Corp. Common Stock,Finance,Major Banks,4
BKT,BlackRock Income Trust Inc. (The),Finance,Finance Companies,1
BKU,BankUnited Inc. Common Stock,Finance,Savings Institutions,4
BLACU,Bellevue Life Sciences Acquisition Corp. Unit,Finance,Blank Checks,-1
BLE,BlackRock Municipal Income Trust II,Finance,Finance/Investors Services,1
BLEU,bleuacacia ltd Class A Ordinary Shares,Finance,Blank Checks,-1
BLFY,Blue Foundry Bancorp Common Stock,Finance,Commercial Banks,-1
BLK,BlackRock Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,3
BLW,Blackrock Limited Duration Income Trust,Finance,Trusts Except Educational Religious and Charitable,1
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),Finance,Commercial Banks,2
BME,Blackrock Health Sciences Trust,Finance,Trusts Except Educational Religious and Charitable,1
BMRC,Bank of Marin Bancorp Common Stock,Finance,Major Banks,4
BNY,BlackRock New York Municipal Income Trust,Finance,Finance Companies,1
BOCN,Blue Ocean Acquisition Corp Class A Ordinary Shares,Finance,Blank Checks,-1
BOCNU,Blue Ocean Acquisition Corp Unit,Finance,Blank Checks,-1
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,Finance,Finance Companies,1
BOH,Bank of Hawaii Corporation Common Stock,Finance,Major Banks,4
BOKF,BOK Financial Corporation Common Stock,Finance,Major Banks,0
BOTJ,Bank of the James Financial Group Inc. Common Stock,Finance,Major Banks,4
BPOP,Popular Inc. Common Stock,Finance,Major Banks,0
BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities,Finance,Major Banks,4
BPRN,Princeton Bancorp Inc. Common Stock (PA),Finance,Major Banks,0
BRKL,Brookline Bancorp Inc. Common Stock,Finance,Savings Institutions,4
BRO,Brown & Brown Inc. Common Stock,Finance,Specialty Insurers,2
BRW,Saba Capital Income & Opportunities Fund SBI,Finance,Trusts Except Educational Religious and Charitable,1
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Finance,Commercial Banks,1
BSL,Blackstone Senior Floating Rate 2027 Term Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,1
BSRR,Sierra Bancorp Common Stock,Finance,Major Banks,4
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,Finance,Finance Companies,1
