Symbol,Name,Sector,Industry,clusterID
AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors,4
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,2
ACCD,Accolade Inc. Common Stock,Technology,Interactive Media,-1
ACIW,ACI Worldwide Inc. Common Stock,Technology,EDP Services,1
ACLS,Axcelis Technologies Inc. Common Stock,Technology,Industrial Machinery/Components,2
ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components,1
ACON,Aclarion Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,-1
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software,4
ADEA,Adeia Inc. Common Stock,Technology,EDP Services,2
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors,2
ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software,1
AEYE,AudioEye Inc. Common Stock,Technology,EDP Services,1
AFRM,Affirm Holdings Inc. Class A Common Stock,Technology,EDP Services,-1
AGYS,Agilysys Inc. Common Stock (DE),Technology,Computer Software: Prepackaged Software,2
AIP,Arteris Inc. Common Stock,Technology,Semiconductors,-1
AIRG,Airgain Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,1
AKLI,Akili Inc. Common Stock,Technology,Computer Software: Prepackaged Software,-1
ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors,-1
ALKT,Alkami Technology Inc. Common Stock,Technology,EDP Services,-1
ALOT,AstroNova Inc. Common Stock,Technology,Computer peripheral equipment,2
ALRM,Alarm.com Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software,3
ALTR,Altair Engineering Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,2
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors,2
AMBA,Ambarella Inc. Ordinary Shares,Technology,Semiconductors,0
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,2
AMKR,Amkor Technology Inc. Common Stock,Technology,Semiconductors,2
AMPG,Amplitech Group Inc. Common Stock,Technology,Industrial Machinery/Components,-1
AMPGW,Amplitech Group Inc. Warrants,Technology,Industrial Machinery/Components,-1
AMPL,Amplitude Inc. Class A Common Stock,Technology,EDP Services,-1
AMST,Amesite Inc. Common Stock,Technology,Computer Software: Prepackaged Software,-1
AMSWA,American Software Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,3
AMWL,American Well Corporation Class A Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,-1
