,Symbol,Name,Sector,Industry,Type
0,A,Agilent Technologies Inc. Common Stock,Industrials,Electrical Products,EQUITY
1,AACI,Armada Acquisition Corp. I Common Stock,Industrials,Consumer Electronics/Appliances,EQUITY
2,AADI,Aadi Bioscience Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
3,AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,EQUITY
4,AAMC,Altisource Asset Management Corp Com,Finance,Investment Managers,EQUITY
5,AAME,Atlantic American Corporation Common Stock,Finance,Life Insurance,EQUITY
6,AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors,EQUITY
7,AAON,AAON Inc. Common Stock,Industrials,Industrial Machinery/Components,EQUITY
8,AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores,EQUITY
9,AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,EQUITY
10,AAT,American Assets Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts,EQUITY
11,AB,AllianceBernstein Holding L.P.  Units,Finance,Investment Managers,EQUITY
12,ABBV,AbbVie Inc. Common Stock,Health Care,Other Pharmaceuticals,EQUITY
13,ABCB,Ameris Bancorp Common Stock,Finance,Major Banks,EQUITY
14,ABCL,AbCellera Biologics Inc. Common Shares,Health Care,Pharmaceuticals and Biotechnology,EQUITY
15,ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
16,ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary,Other Specialty Stores,EQUITY
17,ABIO,ARCA biopharma Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,EQUITY
18,ABM,ABM Industries Incorporated Common Stock,Consumer Discretionary,Diversified Commercial Services,EQUITY
19,ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Hotels/Resorts,EQUITY
20,ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
