Symbol,Name,Sector,Industry
A,Agilent Technologies Inc. Common Stock,Industrials,Electrical Products
AACI,Armada Acquisition Corp. I Common Stock,Industrials,Consumer Electronics/Appliances
AACIW,Armada Acquisition Corp. I Warrant,Industrials,Consumer Electronics/Appliances
AADI,Aadi Bioscience Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),Real Estate,Real Estate Investment Trusts
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,Finance,Finance/Investors Services
AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,Finance,Investment Managers
AAME,Atlantic American Corporation Common Stock,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors
AAON,AAON Inc. Common Stock,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,Consumer Discretionary,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary,Other Specialty Stores
ABIO,ARCA biopharma Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,Consumer Discretionary,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts
ABSI,Absci Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ABT,Abbott Laboratories Common Stock,Health Care,Medical/Dental Instruments
ABUS,Arbutus Biopharma Corporation Common Stock,Health Care,Pharmaceuticals and Biotechnology
ABVC,ABVC BioPharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,Industrials,Consumer Electronics/Appliances
ACABU,Atlantic Coastal Acquisition Corp. II Unit,Industrials,Consumer Electronics/Appliances
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,Industrials,Consumer Electronics/Appliances
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,Industrials,Consumer Electronics/Appliances
ACACW,Acri Capital Acquisition Corporation Warrant,Industrials,Consumer Electronics/Appliances
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
ACAXR,Alset Capital Acquisition Corp. Right,Industrials,Consumer Electronics/Appliances
ACAXW,Alset Capital Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
ACB,Aurora Cannabis Inc. Common Shares,Health Care,Pharmaceuticals and Biotechnology
ACCD,Accolade Inc. Common Stock,Technology,Interactive Media
ACCO,Acco Brands Corporation Common Stock,Consumer Discretionary,Advertising
ACDC,ProFrac Holding Corp. Class A Common Stock,Industrials,Metal Fabrications
ACDCW,ProFrac Holding Corp. Warrant,Industrials,Metal Fabrications
ACEL,Accel Entertainment Inc. ,Consumer Discretionary,Recreational Games/Products/Toys
ACER,Acer Therapeutics Inc. Common Stock (DE),Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,Health Care,Biotechnology: Pharmaceutical Preparations
ACGN,Aceragen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,Hospital/Nursing Management
ACHR,Archer Aviation Inc. Class A Common Stock,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Staples,Food Chains
ACIW,ACI Worldwide Inc. Common Stock,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,Finance,Investment Managers
ACQR,Independence Holdings Corp. Class A Ordinary Share,Finance,Blank Checks
ACQRU,Independence Holdings Corp. Units,Finance,Blank Checks
ACQRW,Independence Holdings Corp. Warrant,Finance,Blank Checks
ACR,ACRES Commercial Realty Corp. Common Stock,Real Estate,Real Estate Investment Trusts
ACRE,Ares Commercial Real Estate Corporation Common Stock,Real Estate,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ACRV,Acrivon Therapeutics Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
ACST,Acasti Pharma Inc. Class A Common Stock,Health Care,Pharmaceuticals and Biotechnology
ACT,Enact Holdings Inc. Common Stock,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,Consumer Discretionary,Home Furnishings
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,Industrials,Metal Fabrications
ACXP,Acurx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,Finance,Blank Checks
ADALU,Anthemis Digital Acquisitions I Corp Unit,Finance,Blank Checks
ADALW,Anthemis Digital Acquisitions I Corp Warrant,Finance,Blank Checks
ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts
ADEA,Adeia Inc. Common Stock,Technology,EDP Services
ADER,26 Capital Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
ADERU,26 Capital Acquisition Corp. Unit,Industrials,Consumer Electronics/Appliances
ADERW,26 Capital Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
ADES,Advanced Emissions Solutions Inc. Common Stock,Industrials,Industrial Specialties
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADILW,Adial Pharmaceuticals Inc Warrant,Health Care,Biotechnology: Pharmaceutical Preparations
ADMA,ADMA Biologics Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADMP,Adamis Pharmaceuticals Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,Utilities,Power Generation
ADNWW,Advent Technologies Holdings Inc. Warrant,Utilities,Power Generation
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADOCR,Edoc Acquisition Corp. Right,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADOCW,Edoc Acquisition Corp. Warrant,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADP,Automatic Data Processing Inc. Common Stock,Consumer Discretionary,Business Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
ADTH,AdTheorent Holding Company Inc. Common Stock,Consumer Discretionary,Advertising
ADTHW,AdTheorent Holding Company Inc. Warrants,Consumer Discretionary,Advertising
ADTN,ADTRAN Holdings Inc. Common Stock,Telecommunications,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
ADUS,Addus HomeCare Corporation Common Stock,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,Consumer Discretionary,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADVWW,Advantage Solutions Inc. Warrant,Consumer Discretionary,Advertising
ADX,Adams Diversified Equity Fund Inc.,Finance,Investment Managers
AE,Adams Resources & Energy Inc. Common Stock,Energy,Oilfield Services/Equipment
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances
AEAEU,AltEnergy Acquisition Corp. Unit,Industrials,Consumer Electronics/Appliances
AEAEW,AltEnergy Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances
AEE,Ameren Corporation Common Stock,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,Finance,Finance/Investors Services
AEHR,Aehr Test Systems Common Stock,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),Real Estate,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,Consumer Discretionary,Electrical Products
AEL,American Equity Investment Life Holding Company Common Stock,Finance,Life Insurance
AEMD,Aethlon Medical Inc. Common Stock,Miscellaneous,Diversified Commercial Services
AEO,American Eagle Outfitters Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,Utilities,Electric Utilities: Central
AES,The AES Corporation Common Stock,Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,Utilities,Electric Utilities: Central
AEY,ADDvantage Technologies Group Inc. Common Stock,Consumer Discretionary,Durable Goods
AEYE,AudioEye Inc. Common Stock,Technology,EDP Services
