Symbol,Word_Embedding_Dim1,Word_Embedding_Dim2,Word_Embedding_Dim3,Word_Embedding_Dim4,Word_Embedding_Dim5,Basic Materials,Consumer Discretionary,Consumer Staples,Energy,Finance,Health Care,Industrials,Miscellaneous,Real Estate,Technology,Telecommunications,Utilities
A,-0.19053547,0.1162323,0.12378824,0.17800331,0.17166193,0,0,0,0,0,0,1,0,0,0,0,0
AACI,0.15600586,-0.10159373,0.071780324,-0.04322636,-0.10381059,0,0,0,0,0,0,1,0,0,0,0,0
AADI,-0.111711286,-0.11493013,0.16567326,0.16333826,-0.009216023,0,0,0,0,0,1,0,0,0,0,0,0
AAL,-0.033178855,0.069789626,0.15178673,0.014254784,-0.1770837,0,1,0,0,0,0,0,0,0,0,0,0
AAMC,0.14902835,-0.16682553,0.000800657,-0.136588,0.15558274,0,0,0,0,1,0,0,0,0,0,0,0
AAME,-0.07630012,0.016105557,-0.11874018,0.104809955,-0.07293792,0,0,0,0,1,0,0,0,0,0,0,0
AAOI,0.10509348,-0.0810682,0.17713854,-0.11592297,0.16429624,0,0,0,0,0,0,0,0,0,1,0,0
AAON,-0.044266414,-0.09107442,-0.10117297,-0.027917575,0.14367136,0,0,0,0,0,0,1,0,0,0,0,0
AAP,0.0687397,0.10235107,-0.08864014,-0.05998273,-0.105272844,0,1,0,0,0,0,0,0,0,0,0,0
AAPL,0.12633333,0.063282326,-0.12941596,-0.024498034,-0.17927797,0,0,0,0,0,0,0,0,0,1,0,0
AAT,0.058105253,-0.089371204,0.085418224,-0.18791604,-0.15451232,0,0,0,0,0,0,0,0,1,0,0,0
AB,-0.11334181,-0.09480314,0.1218184,0.001839709,0.013751363,0,0,0,0,1,0,0,0,0,0,0,0
ABBV,-0.07814286,-0.17527524,0.027109241,0.12885089,-0.17070878,0,0,0,0,0,1,0,0,0,0,0,0
ABCB,0.03954334,0.1094801,-0.033726644,-0.011016917,0.035608314,0,0,0,0,1,0,0,0,0,0,0,0
ABCL,-0.11887908,-0.15744455,0.101493075,0.18605682,0.0067518,0,0,0,0,0,1,0,0,0,0,0,0
ABEO,-0.06349015,0.024261117,0.11025212,0.15406513,-0.11706219,0,0,0,0,0,1,0,0,0,0,0,0
ABG,-0.006314612,0.09835589,0.111742996,-0.044592142,-0.08296218,0,1,0,0,0,0,0,0,0,0,0,0
ABIO,-0.019633913,-0.14090212,0.13420519,-0.038895465,0.067377426,0,0,0,0,0,1,0,0,0,0,0,0
ABM,0.002682686,0.048724532,-0.10182188,-0.088995576,0.09133558,0,1,0,0,0,0,0,0,0,0,0,0
ABNB,-0.13610463,0.13646746,-0.07176638,-0.0862396,0.18571305,0,1,0,0,0,0,0,0,0,0,0,0
ABOS,0.029841017,0.077813104,-0.023654032,-0.053798698,-0.05892372,0,0,0,0,0,1,0,0,0,0,0,0
ABR,0.04600973,-0.1938564,0.15610316,0.16657229,0.041022707,0,0,0,0,0,0,0,0,1,0,0,0
ABSI,-0.05724573,0.062419035,-0.04001329,-0.06899519,0.007041001,0,0,0,0,0,1,0,0,0,0,0,0
ABT,-0.10140967,0.044990897,-0.120417334,-0.09925351,-0.10968864,0,0,0,0,0,1,0,0,0,0,0,0
ABUS,0.10892467,-0.19839875,0.000238442,-0.14272133,-0.101192355,0,0,0,0,0,1,0,0,0,0,0,0
